TOA5,CR1000_tower4_N,CR1000,73550,CR1000.Std.28,CPU:SH_Site4_North_3_09302016.CR1,41026,Enviro,,,,,,,,,,,,,,,,,,,,
TIMESTAMP,RECORD,Day_of_Year,Hour,VWC_1_Avg,EC_1_Avg,ST_1_Avg,P_1_Avg,PA_1_Avg,VR_1_Avg,VWC_2_Avg,EC_2_Avg,ST_2_Avg,P_2_Avg,PA_2_Avg,VR_2_Avg,VWC_3_Avg,EC_3_Avg,ST_3_Avg,P_3_Avg,PA_3_Avg,VR_3_Avg,SWE_mv_Avg,JUDD_AT_Avg,JUDD_Depth_Avg,Judd_offset_Avg,TT_C,SBT_C
TS,RN,,,m^3/m^3,dS/m,Deg C,unitless,nSec,unitless,,,,,,,,,,,,,,,,,Deg C,Deg C
,,Smp,Smp,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Smp,Smp
9/30/16 14:00,0,274,1400,0.015,0,7.197,1.485,0.601,0.5,0.013,0,5.757,1.425,0.601,0.5,0.036,0,5.42,2.357,0.635,0.5,0.015,14.78,-12.11,0,-0.533,15.2
9/30/16 14:15,1,274,1415,0.029,0,14.4,2.969,1.202,1,0.026,0,11.53,2.85,1.202,1,0.073,0,10.84,4.715,1.269,1,0.015,13.87,-70.73,0,14.57,13.69
9/30/16 14:30,2,274,1430,0.029,0,14.26,2.971,1.202,1,0.026,0,11.51,2.846,1.202,1.001,0.073,0,10.86,4.714,1.269,1,NAN,13.28,-55.51,0,13.12,13.09
9/30/16 14:45,3,274,1445,0.029,0,14.22,2.97,1.202,1,0.026,0,11.53,2.848,1.202,1,0.073,0.001,10.84,4.713,1.269,1,NAN,13.03,-111.7,0,13.2,13.31
9/30/16 15:00,4,274,1500,0.029,0,14.19,2.971,1.202,1,0.026,0,11.57,2.849,1.202,1,0.073,0,10.81,4.714,1.269,1,0.015,12.93,-114.4,0,12.89,13.64
9/30/16 15:15,5,274,1515,0.029,0,14.06,2.97,1.202,1,0.026,0,11.56,2.846,1.202,1.001,0.073,0,10.83,4.716,1.269,1,0.016,13.53,-105.6,0,12.55,13.9
9/30/16 15:30,6,274,1530,0.029,0,13.99,2.971,1.202,1,0.026,0,11.57,2.849,1.202,1,0.073,0,10.82,4.714,1.269,1,0.015,13.82,-114.9,0,11.42,13.55
9/30/16 15:45,7,274,1545,0.029,0,13.89,2.969,1.202,1,0.026,0,11.58,2.846,1.202,1.001,0.073,0,10.84,4.714,1.269,1,0.015,13.43,-114.9,0,10.46,13.07
9/30/16 16:00,8,274,1600,0.029,0,13.78,2.971,1.202,1,0.026,0,11.59,2.85,1.202,1,0.073,0,10.83,4.715,1.269,1,0.015,12.58,-114.8,0,10.21,11.89
9/30/16 16:15,9,274,1615,0.029,0,13.71,2.969,1.202,1,0.026,0,11.6,2.847,1.202,1,0.073,0,10.86,4.715,1.269,1,0.015,11.46,-114.6,0,9.54,11.07
9/30/16 16:30,10,274,1630,0.029,0,13.61,2.971,1.202,1,0.026,0,11.62,2.848,1.202,1,0.073,0,10.85,4.716,1.269,1,0.014,10.89,-114.7,0,9.04,10.54
9/30/16 16:45,11,274,1645,0.029,0,13.5,2.97,1.202,1,0.026,0,11.63,2.849,1.202,1,0.073,0,10.81,4.714,1.269,1,0.014,10.25,-114.7,0,8.13,9.95
9/30/16 17:00,12,274,1700,0.029,0.001,13.39,2.969,1.202,1,0.026,0,11.67,2.848,1.202,1,0.073,0,10.84,4.714,1.269,1,0.014,9.84,-114.7,0,7.058,9.43
9/30/16 17:15,13,274,1715,0.029,0.001,13.27,2.969,1.202,1,0.026,0,11.67,2.849,1.202,1,0.073,0.001,10.82,4.713,1.269,1,0.014,9.16,-114.7,0,6.579,8.83
9/30/16 17:30,14,274,1730,0.029,0,13.16,2.97,1.202,1,0.026,0,11.68,2.85,1.202,1,0.073,0.001,10.83,4.713,1.269,1,0.014,8.84,-114.6,0,5.589,8.4
9/30/16 17:45,15,274,1745,0.029,0,13,2.972,1.202,1,0.026,0,11.72,2.847,1.202,1,0.073,0,10.84,4.714,1.269,1,0.014,8.49,-114.6,0,5.183,7.991
9/30/16 18:00,16,274,1800,0.029,0,12.87,2.971,1.202,1,0.026,0,11.73,2.849,1.202,1,0.073,0,10.79,4.715,1.269,1,0.014,8.13,-114.6,0,4.759,7.712
9/30/16 18:15,17,274,1815,0.029,0,12.72,2.97,1.202,1,0.026,0,11.75,2.85,1.202,1,0.073,0.001,10.82,4.712,1.269,1.001,0.014,7.632,-114.6,0,4.34,7.3
9/30/16 18:30,18,274,1830,0.029,0,12.56,2.97,1.202,1,0.026,0.001,11.75,2.845,1.202,1.001,0.073,0.001,10.83,4.713,1.269,1,0.014,7.608,-114.6,0,4.398,7.214
9/30/16 18:45,19,274,1845,0.029,0,12.39,2.97,1.202,1,0.026,0,11.77,2.847,1.202,1,0.073,0,10.85,4.714,1.269,1,0.014,7.236,-114.7,0,3.832,6.87
9/30/16 19:00,20,274,1900,0.029,0,12.2,2.972,1.202,1,0.026,0,11.8,2.848,1.202,1,0.073,0,10.84,4.715,1.269,1,0.014,7.101,-114.6,0,3.765,6.782
