TOA5,CR1000_tower4_S,CR1000,75038,CR1000.Std.28,CPU:SH_Site4_South_1_0_09222016.CR1,20810,Enviro,,,,,,,,,,,,,,,,,,,,
TIMESTAMP,RECORD,Day_of_Year,Hour,VWC_1_Avg,EC_1_Avg,ST_1_Avg,P_1_Avg,PA_1_Avg,VR_1_Avg,VWC_2_Avg,EC_2_Avg,ST_2_Avg,P_2_Avg,PA_2_Avg,VR_2_Avg,VWC_3_Avg,EC_3_Avg,ST_3_Avg,P_3_Avg,PA_3_Avg,VR_3_Avg,SWE_mv_Avg,JUDD_AT_Avg,JUDD_Depth_Avg,Judd_offset_Avg,TT_C,SBT_C
TS,RN,,,m^3/m^3,dS/m,Deg C,unitless,nSec,unitless,,,,,,,,,,,,,,,,,Deg C,Deg C
,,Smp,Smp,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Smp,Smp
9/23/16 14:30,0,267,1430,0.021,0,9.48,2.658,1.174,1,0.049,0,10.61,3.761,1.236,1,0.048,0.001,11.56,3.715,1.234,1.001,0.027,13.93,-123.4,0,14.75,15.52
9/23/16 14:45,1,267,1445,0.021,0,9.47,2.656,1.174,1,0.049,0,10.59,3.759,1.236,1.001,0.048,0.001,11.56,3.715,1.234,1.001,0.027,14.15,-123.3,0,16.02,14.92
9/23/16 15:00,2,267,1500,0.021,0,9.57,2.657,1.174,1,0.049,0,10.6,3.76,1.236,1.001,0.048,0.001,11.57,3.716,1.234,1.001,0.027,13.84,-123.2,0,15.19,14.42
9/23/16 15:15,3,267,1515,0.021,0,9.7,2.655,1.174,1,0.049,0,10.58,3.761,1.236,1,0.048,0.001,11.54,3.715,1.234,1.001,0.027,14.06,-123.2,0,23.74,14.73
9/23/16 15:30,4,267,1530,0.021,0,9.8,2.656,1.174,1,0.049,0.001,10.6,3.759,1.236,1.001,0.048,0.001,11.52,3.715,1.234,1.001,0.027,14.07,-123.2,0,20.96,14.75
9/23/16 15:45,5,267,1545,0.021,0,9.91,2.657,1.174,1,0.049,0,10.6,3.759,1.236,1.001,0.048,0,11.54,3.717,1.234,1,0.027,14.75,-123.4,0,19.38,14.65
9/23/16 16:00,6,267,1600,0.021,0,10.06,2.656,1.174,1,0.049,0,10.61,3.761,1.236,1,0.048,0,11.52,3.716,1.234,1,0.027,14.01,-123.3,0,14.33,13.89
9/23/16 16:15,7,267,1615,0.021,0,10.17,2.658,1.174,1,0.049,0,10.59,3.759,1.236,1.001,0.048,0,11.5,3.716,1.234,1,0.027,13.06,-123.4,0,14.18,12.95
9/23/16 16:30,8,267,1630,0.021,0,10.27,2.655,1.174,1.001,0.049,0,10.6,3.761,1.236,1,0.048,0.001,11.5,3.715,1.234,1.001,0.028,12.85,-123.3,0,14.66,12.67
9/23/16 16:45,9,267,1645,0.021,0,10.43,2.656,1.174,1,0.049,0,10.58,3.76,1.236,1.001,0.048,0,11.49,3.716,1.234,1,0.027,12.33,-123.2,0,11.79,12.29
9/23/16 17:00,10,267,1700,0.021,0,10.54,2.655,1.174,1.001,0.049,0,10.58,3.759,1.236,1.001,0.048,0.001,11.48,3.714,1.234,1.001,0.027,11.66,-123.3,0,9.66,11.41
9/23/16 17:15,11,267,1715,0.021,0,10.62,2.657,1.174,1,0.049,0.001,10.6,3.758,1.236,1.001,0.048,0.001,11.44,3.716,1.234,1,0.027,11.25,-123.3,0,8.38,10.73
9/23/16 17:30,12,267,1730,0.021,0.001,10.73,2.654,1.174,1.001,0.049,0.001,10.59,3.757,1.236,1.001,0.048,0,11.45,3.716,1.234,1,0.027,10.09,-123.2,0,7.09,9.9
9/23/16 17:45,13,267,1745,0.021,0.001,10.79,2.654,1.174,1.001,0.049,0,10.6,3.759,1.236,1.001,0.048,0,11.46,3.718,1.234,1,0.028,9.51,-123.2,0,6.134,9.15
9/23/16 18:00,14,267,1800,0.021,0,10.86,2.655,1.174,1,0.049,0,10.62,3.761,1.236,1,0.048,0.001,11.46,3.715,1.234,1.001,0.028,8.8,-123.2,0,5.268,8.43
9/23/16 18:15,15,267,1815,0.021,0,10.93,2.655,1.174,1,0.049,0.001,10.62,3.758,1.236,1.001,0.048,0.001,11.48,3.715,1.234,1.001,0.028,8.55,-123.3,0,4.679,7.929
9/23/16 18:30,16,267,1830,0.021,0,10.95,2.657,1.174,1,0.049,0,10.62,3.76,1.236,1.001,0.048,0,11.42,3.716,1.234,1,0.028,8.39,-123.2,0,4.206,7.533
9/23/16 18:45,17,267,1845,0.021,0,11.02,2.658,1.174,1,0.049,0,10.65,3.759,1.236,1.001,0.048,0,11.41,3.717,1.234,1,0.028,8.01,-123.3,0,3.876,7.22
9/23/16 19:00,18,267,1900,0.021,0,11.01,2.657,1.174,1,0.049,0,10.63,3.762,1.236,1,0.048,0,11.42,3.718,1.234,1,0.028,7.563,-123.2,0,3.416,6.843
9/23/16 19:15,19,267,1915,0.021,0,11.04,2.656,1.174,1,0.049,0,10.65,3.761,1.236,1,0.048,0,11.41,3.717,1.234,1,0.028,7.355,-123.3,0,3.134,6.576
