TOA5,CR1000_tower4_N,CR1000,73550,CR1000.Std.28,CPU:SH_Site4_North_3_09302016.CR1,41026,SapFlow,,,,,,
TIMESTAMP,RECORD,AVRD_Avg(1),AVRD_Avg(2),Sap_mV_Avg(1),Sap_mV_Avg(2),Sap_mV_Avg(3),Sap_mV_Avg(4),Sap_mV_Avg(5),Sap_mV_Avg(6),Sap_mV_Avg(7),Sap_mV_Avg(8),Sap_mV_Avg(9),Sap_mV_Avg(10)
TS,RN,,,,,,,,,,,,
,,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg
10/1/17 0:00,35080,2.976,3.009,0.319,0.241,0.343,0.389,0.225,0.127,0.212,0.23,0.243,0.238
10/1/17 0:15,35081,2.976,3.012,0.319,0.241,0.343,0.389,0.225,0.127,0.212,0.23,0.243,0.238
10/1/17 0:30,35082,2.976,3.009,0.32,0.241,0.344,0.389,0.225,0.127,0.213,0.23,0.244,0.238
10/1/17 0:45,35083,2.976,3.009,0.32,0.24,0.344,0.388,0.226,0.128,0.213,0.23,0.243,0.238
10/1/17 1:00,35084,2.976,3.008,0.319,0.241,0.344,0.389,0.226,0.128,0.212,0.23,0.244,0.238
10/1/17 1:15,35085,2.976,3.009,0.32,0.241,0.345,0.389,0.226,0.128,0.213,0.23,0.244,0.238
10/1/17 1:30,35086,2.976,3.009,0.32,0.241,0.345,0.389,0.226,0.128,0.212,0.23,0.243,0.237
10/1/17 1:45,35087,2.977,3.009,0.32,0.241,0.345,0.39,0.226,0.128,0.212,0.23,0.243,0.237
10/1/17 2:00,35088,2.977,3.009,0.32,0.241,0.346,0.389,0.226,0.128,0.213,0.23,0.242,0.237
10/1/17 2:15,35089,2.977,3.009,0.321,0.241,0.346,0.39,0.226,0.128,0.213,0.23,0.243,0.237
10/1/17 2:30,35090,2.977,3.009,0.321,0.241,0.346,0.39,0.226,0.129,0.213,0.231,0.243,0.237
10/1/17 2:45,35091,2.977,3.009,0.32,0.242,0.346,0.39,0.227,0.129,0.213,0.231,0.243,0.237
10/1/17 3:00,35092,2.977,3.009,0.32,0.242,0.347,0.391,0.227,0.129,0.213,0.231,0.244,0.237
10/1/17 3:15,35093,2.977,3.009,0.321,0.242,0.347,0.391,0.227,0.129,0.214,0.231,0.244,0.236
10/1/17 3:30,35094,2.977,3.009,0.321,0.242,0.347,0.391,0.227,0.129,0.214,0.231,0.244,0.236
10/1/17 3:45,35095,2.977,3.009,0.321,0.242,0.347,0.391,0.227,0.13,0.214,0.231,0.243,0.236
10/1/17 4:00,35096,2.977,3.009,0.321,0.242,0.347,0.392,0.227,0.13,0.214,0.231,0.243,0.237
10/1/17 4:15,35097,2.977,3.009,0.321,0.243,0.348,0.392,0.228,0.13,0.214,0.231,0.244,0.237
10/1/17 4:30,35098,2.974,3.009,0.321,0.243,0.347,0.392,0.228,0.13,0.214,0.231,0.243,0.236
10/1/17 4:45,35099,2.977,3.011,0.321,0.243,0.348,0.392,0.228,0.13,0.214,0.231,0.243,0.236
10/1/17 5:00,35100,2.977,3.01,0.321,0.243,0.348,0.393,0.228,0.13,0.214,0.232,0.245,0.236
10/1/17 5:15,35101,2.977,3.011,0.322,0.243,0.348,0.393,0.228,0.13,0.214,0.232,0.245,0.237
10/1/17 5:30,35102,2.976,3.009,0.322,0.243,0.348,0.393,0.228,0.13,0.215,0.232,0.245,0.236
10/1/17 5:45,35103,2.975,3.009,0.322,0.243,0.348,0.393,0.229,0.13,0.214,0.232,0.245,0.237
10/1/17 6:00,35104,2.976,3.009,0.322,0.243,0.348,0.393,0.229,0.129,0.214,0.232,0.246,0.237
10/1/17 6:15,35105,2.977,3.009,0.323,0.243,0.348,0.393,0.23,0.129,0.214,0.232,0.246,0.237
10/1/17 6:30,35106,2.975,3.011,0.322,0.244,0.347,0.392,0.23,0.13,0.214,0.233,0.246,0.235
10/1/17 6:45,35107,2.975,3.011,0.322,0.243,0.348,0.393,0.229,0.129,0.214,0.234,0.246,0.232
10/1/17 7:00,35108,2.975,3.009,0.321,0.243,0.348,0.393,0.22,0.132,0.214,0.234,0.246,0.232
10/1/17 7:15,35109,2.973,3.009,0.322,0.243,0.348,0.394,0.218,0.132,0.214,0.233,0.246,0.233
10/1/17 7:30,35110,2.976,3.013,0.323,0.244,0.349,0.395,0.221,0.132,0.215,0.234,0.246,0.235
10/1/17 7:45,35111,2.977,3.015,0.323,0.246,0.351,0.396,0.223,0.132,0.216,0.234,0.246,0.236
10/1/17 8:00,35112,2.977,3.018,0.324,0.246,0.355,0.398,0.228,0.132,0.216,0.234,0.247,0.236
10/1/17 8:15,35113,2.975,3.013,0.324,0.247,0.356,0.399,0.229,0.134,0.214,0.235,0.247,0.236
10/1/17 8:30,35114,2.977,3.015,0.324,0.248,0.359,0.402,0.231,0.138,0.212,0.236,0.246,0.237
10/1/17 8:45,35115,2.977,3.016,0.324,0.251,0.361,0.406,0.233,0.142,0.213,0.235,0.246,0.239
10/1/17 9:00,35116,2.977,3.015,0.325,0.252,0.361,0.407,0.235,0.15,0.211,0.235,0.243,0.241
10/1/17 9:15,35117,2.977,3.015,0.324,0.249,0.36,0.409,0.235,0.158,0.211,0.234,0.24,0.241
10/1/17 9:30,35118,2.977,3.014,0.323,0.248,0.359,0.411,0.234,0.162,0.209,0.234,0.237,0.241
10/1/17 9:45,35119,2.976,3.013,0.322,0.248,0.358,0.413,0.233,0.165,0.208,0.233,0.235,0.24
10/1/17 10:00,35120,2.976,3.014,0.321,0.248,0.355,0.416,0.233,0.16,0.205,0.231,0.234,0.239
10/1/17 10:15,35121,2.976,3.014,0.32,0.249,0.354,0.418,0.232,0.154,0.201,0.23,0.231,0.239
10/1/17 10:30,35122,2.976,3.014,0.318,0.247,0.351,0.418,0.232,0.155,0.198,0.229,0.228,0.237
10/1/17 10:45,35123,2.976,3.012,0.316,0.244,0.349,0.419,0.23,0.162,0.193,0.227,0.222,0.235
10/1/17 11:00,35124,2.975,3.012,0.314,0.241,0.346,0.419,0.229,0.165,0.191,0.225,0.213,0.233
10/1/17 11:15,35125,2.976,3.014,0.313,0.241,0.343,0.419,0.227,0.163,0.191,0.223,0.203,0.231
10/1/17 11:30,35126,2.976,3.014,0.311,0.239,0.34,0.419,0.224,0.159,0.191,0.222,0.192,0.229
10/1/17 11:45,35127,2.976,3.014,0.31,0.237,0.338,0.418,0.221,0.153,0.188,0.22,0.183,0.227
10/1/17 12:00,35128,2.976,3.014,0.308,0.237,0.336,0.417,0.219,0.144,0.186,0.22,0.178,0.227
