TOA5,CR1000_nasa,CR1000,84884,CR1000.Std.31.02,CPU:SH_site1_hill2_11092018.CR1,30628,Enviro,,,,,,,,,,,,,,,,
TIMESTAMP,RECORD,Day_of_Year,Hour,VWC_1_Avg,EC_1_Avg,ST_1_Avg,P_1_Avg,PA_1_Avg,VR_1_Avg,VWC_2_Avg,EC_2_Avg,ST_2_Avg,P_2_Avg,PA_2_Avg,VR_2_Avg,VWC_3_Avg,EC_3_Avg,ST_3_Avg,P_3_Avg,PA_3_Avg,VR_3_Avg,TT_C,SBT_C
TS,RN,,,m^3/m^3,dS/m,Deg C,unitless,nSec,unitless,,,,,,,,,,,,,Deg C,Deg C
,,Smp,Smp,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Smp,Smp
11/2/18 12:00,0,306,1200,0.005,0,0.489,0.334,0.091,0.072,0.01,0.003,0.634,0.554,0.099,0.075,0.013,0.004,0.664,0.68,0.105,0.076,NAN,-111.6
11/2/18 12:15,1,306,1215,0.072,0.003,6.871,4.682,1.267,1.004,0.142,0.045,8.87,7.756,1.391,1.055,0.179,0.054,9.29,9.53,1.466,1.066,NAN,-111.6
11/2/18 12:30,2,306,1230,0.072,0.002,7.266,4.688,1.267,1.003,0.143,0.045,8.87,7.786,1.392,1.055,0.179,0.054,9.31,9.53,1.466,1.066,NAN,-117.4
11/2/18 12:45,3,306,1245,0.072,0.003,7.612,4.685,1.267,1.004,0.143,0.044,8.87,7.789,1.392,1.054,0.179,0.054,9.29,9.53,1.466,1.065,NAN,NAN
11/2/18 13:00,4,306,1300,0.072,0.003,7.93,4.685,1.267,1.004,0.143,0.044,8.86,7.786,1.392,1.054,0.179,0.054,9.31,9.53,1.466,1.065,NAN,-117.4
11/2/18 13:15,5,306,1315,0.072,0.003,8.25,4.686,1.267,1.004,0.142,0.044,8.85,7.756,1.391,1.054,0.179,0.054,9.29,9.53,1.466,1.066,NAN,NAN
11/2/18 13:30,6,306,1330,0.073,0.003,8.64,4.712,1.268,1.003,0.142,0.044,8.83,7.756,1.391,1.054,0.179,0.054,9.29,9.53,1.466,1.066,NAN,NAN
11/2/18 13:45,7,306,1345,0.073,0.003,9.09,4.71,1.268,1.004,0.142,0.045,8.81,7.754,1.391,1.055,0.179,0.054,9.29,9.53,1.466,1.066,NAN,-273.2
11/2/18 14:00,8,306,1400,0.073,0.003,9.53,4.713,1.268,1.004,0.142,0.045,8.81,7.754,1.391,1.055,0.179,0.054,9.28,9.53,1.466,1.065,NAN,NAN
