TOA5,CR1000_rad_test,CR1000,75041,CR1000.Std.28,CPU:SH_tow1_meadow2_2017.CR1,44589,Enviro,
TIMESTAMP,RECORD,Day_of_Year,Hour,SWE_mv_Avg,maxbot_volt_Avg,maxbot_dist_Avg,TT_C,SBT_C
TS,RN,,,,,,Deg C,Deg C
,,Smp,Smp,Avg,Avg,Avg,Smp,Smp
10/1/18 0:00,2252,274,0,0.008,2419,2.362,10.94,11.42
10/1/18 0:15,2253,274,15,0.008,2416,2.36,10.67,11.31
10/1/18 0:30,2254,274,30,0.008,2417,2.361,10.69,11.17
10/1/18 0:45,2255,274,45,0.008,2426,2.369,10.72,11.24
10/1/18 1:00,2256,274,100,0.008,2418,2.361,10.58,11.16
10/1/18 1:15,2257,274,115,0.008,2415,2.359,10.28,10.83
10/1/18 1:30,2258,274,130,0.008,2416,2.359,10.13,10.8
10/1/18 1:45,2259,274,145,0.008,2416,2.36,9.79,10.42
10/1/18 2:00,2260,274,200,0.008,2415,2.359,9.84,10.49
10/1/18 2:15,2261,274,215,0.008,2415,2.358,10.54,11.2
10/1/18 2:30,2262,274,230,0.008,2415,2.359,10.7,11.45
10/1/18 2:45,2263,274,245,0.008,2414,2.357,10.22,11.37
10/1/18 3:00,2264,274,300,0.009,2417,2.36,9.65,10.6
10/1/18 3:15,2265,274,315,0.009,2414,2.357,9.43,10.12
10/1/18 3:30,2266,274,330,0.009,2414,2.357,9.6,10.21
10/1/18 3:45,2267,274,345,0.009,2413,2.357,9.96,10.55
10/1/18 4:00,2268,274,400,0.009,2416,2.359,9.79,10.42
10/1/18 4:15,2269,274,415,0.009,2415,2.359,9.93,10.43
10/1/18 4:30,2270,274,430,0.009,2417,2.361,9.87,10.54
10/1/18 4:45,2271,274,445,0.009,2415,2.358,9.97,10.43
10/1/18 5:00,2272,274,500,0.009,2429,2.372,9.92,10.41
10/1/18 5:15,2273,274,515,0.009,2416,2.36,9.58,10.34
10/1/18 5:30,2274,274,530,0.009,2418,2.362,8.53,9.57
10/1/18 5:45,2275,274,545,0.009,2415,2.359,8.44,9.27
10/1/18 6:00,2276,274,600,0.009,2414,2.357,8.23,9.26
10/1/18 6:15,2277,274,615,0.009,2417,2.36,7.781,8.96
10/1/18 6:30,2278,274,630,0.009,2419,2.362,7.64,8.45
10/1/18 6:45,2279,274,645,0.009,2412,2.356,8.94,9.42
10/1/18 7:00,2280,274,700,0.009,2427,2.37,10.01,10.38
10/1/18 7:15,2281,274,715,0.009,2418,2.362,10.83,11.1
10/1/18 7:30,2282,274,730,0.009,2419,2.362,11.17,11.47
10/1/18 7:45,2283,274,745,0.009,2421,2.365,11.6,12.02
10/1/18 8:00,2284,274,800,0.009,2427,2.37,12.99,13.61
10/1/18 8:15,2285,274,815,0.009,2427,2.37,12.22,12.91
10/1/18 8:30,2286,274,830,0.009,2425,2.368,13.27,13.35
10/1/18 8:45,2287,274,845,0.009,2428,2.371,15.35,15.28
10/1/18 9:00,2288,274,900,0.009,2434,2.377,16.77,16.35
10/1/18 9:15,2289,274,915,0.009,2429,2.372,15.51,15.4
10/1/18 9:30,2290,274,930,0.009,2425,2.368,16.13,15.53
10/1/18 9:45,2291,274,945,0.009,2427,2.37,17.04,16.12
10/1/18 10:00,2292,274,1000,0.01,2428,2.371,18.35,17.49
10/1/18 10:15,2293,274,1015,0.01,2429,2.372,18.38,17.37
10/1/18 10:30,2294,274,1030,0.01,2431,2.374,20.52,19.36
10/1/18 10:45,2295,274,1045,0.01,2433,2.376,21.56,20.06
10/1/18 11:00,2296,274,1100,0.01,2430,2.373,22.24,20.52
10/1/18 11:15,2297,274,1115,0.01,2434,2.377,23.49,22.17
10/1/18 11:30,2298,274,1130,0.01,2434,2.377,24.18,22.71
10/1/18 11:45,2299,274,1145,0.01,2431,2.374,23.53,22.11
10/1/18 12:00,2300,274,1200,0.01,2429,2.372,24.44,22.46
10/1/18 12:15,2301,274,1215,0.01,2434,2.376,24.78,22.86
10/1/18 12:30,2302,274,1230,0.01,2436,2.379,25.21,23.13
10/1/18 12:45,2303,274,1245,0.01,2435,2.378,24.9,22.97
10/1/18 13:00,2304,274,1300,0.01,2434,2.377,24.27,22.22
10/1/18 13:15,2305,274,1315,0.01,2446,2.389,23.84,21.61
10/1/18 13:30,2306,274,1330,0.01,2435,2.378,23.43,21.42
10/1/18 13:45,2307,274,1345,0.01,2435,2.378,22.65,21.25
10/1/18 14:00,2308,274,1400,0.01,2437,2.38,23.08,20.97
10/1/18 14:15,2309,274,1415,0.01,2440,2.383,21.98,20.51
10/1/18 14:30,2310,274,1430,0.01,2437,2.38,21.78,20.53
10/1/18 14:45,2311,274,1445,0.009,2435,2.378,21.91,20.49
10/1/18 15:00,2312,274,1500,0.009,2440,2.383,21.85,20.49
10/1/18 15:15,2313,274,1515,0.009,2439,2.382,23.13,21.28
10/1/18 15:30,2314,274,1530,0.009,2439,2.382,22.61,21.7
10/1/18 15:45,2315,274,1545,0.009,2437,2.38,22.22,21.42
10/1/18 16:00,2316,274,1600,0.009,2440,2.383,21.17,20.66
10/1/18 16:15,2317,274,1615,0.009,2433,2.376,19.28,19.29
10/1/18 16:30,2318,274,1630,0.009,2426,2.369,17.69,17.85
10/1/18 16:45,2319,274,1645,0.009,2422,2.365,16.52,16.69
10/1/18 17:00,2320,274,1700,0.009,2419,2.362,15.66,15.99
10/1/18 17:15,2321,274,1715,0.009,2418,2.361,14.93,15.26
10/1/18 17:30,2322,274,1730,0.009,2415,2.359,14.23,14.63
10/1/18 17:45,2323,274,1745,0.009,2426,2.37,13.59,13.99
10/1/18 18:00,2324,274,1800,0.009,2413,2.356,13.39,13.76
10/1/18 18:15,2325,274,1815,0.009,2416,2.359,13.15,13.58
10/1/18 18:30,2326,274,1830,0.009,2414,2.357,13.2,13.49
10/1/18 18:45,2327,274,1845,0.009,2415,2.358,13.41,13.83
10/1/18 19:00,2328,274,1900,0.009,2415,2.359,13.48,13.98
10/1/18 19:15,2329,274,1915,0.009,2416,2.36,12.87,13.62
10/1/18 19:30,2330,274,1930,0.009,2416,2.359,12.72,13.27
10/1/18 19:45,2331,274,1945,0.009,2430,2.373,12.12,12.72
10/1/18 20:00,2332,274,2000,0.009,2431,2.374,11.35,12.08
10/1/18 20:15,2333,274,2015,0.009,2417,2.36,10.74,11.49
10/1/18 20:30,2334,274,2030,0.009,2413,2.356,10.09,10.8
10/1/18 20:45,2335,274,2045,0.009,2416,2.36,9.72,10.28
10/1/18 21:00,2336,274,2100,0.009,2413,2.357,8.76,9.66
10/1/18 21:15,2337,274,2115,0.009,2415,2.358,8.2,8.97
10/1/18 21:30,2338,274,2130,0.009,2414,2.358,7.523,8.3
10/1/18 21:45,2339,274,2145,0.009,2416,2.359,6.97,7.741
10/1/18 22:00,2340,274,2200,0.009,2415,2.358,6.786,7.376
10/1/18 22:15,2341,274,2215,0.009,2417,2.361,6.314,7.068
10/1/18 22:30,2342,274,2230,0.009,2428,2.371,5.73,6.58
10/1/18 22:45,2343,274,2245,0.009,2415,2.359,5.435,6.117
10/1/18 23:00,2344,274,2300,0.009,2414,2.358,5.132,5.721
10/1/18 23:15,2345,274,2315,0.009,2412,2.356,5.164,5.543
10/1/18 23:30,2346,274,2330,0.009,2413,2.357,5.324,5.654
10/1/18 23:45,2347,274,2345,0.009,2412,2.356,5.571,5.941
10/2/18 0:00,2348,275,0,0.009,2415,2.359,5.819,6.263
10/2/18 0:15,2349,275,15,0.009,2413,2.357,6.331,6.53
10/2/18 0:30,2350,275,30,0.008,2409,2.353,8.38,8.53
10/2/18 0:45,2351,275,45,0.008,2409,2.353,10.28,10.71
10/2/18 1:00,2352,275,100,0.009,2414,2.358,10.78,11.66
10/2/18 1:15,2353,275,115,0.009,2418,2.361,10.69,11.63
10/2/18 1:30,2354,275,130,0.008,2417,2.36,10.05,11.06
10/2/18 1:45,2355,275,145,0.008,2415,2.358,9.76,10.74
10/2/18 2:00,2356,275,200,0.009,2415,2.358,9.77,10.91
10/2/18 2:15,2357,275,215,0.008,2416,2.359,9.95,10.5
10/2/18 2:30,2358,275,230,0.008,2413,2.356,10.28,11.13
10/2/18 2:45,2359,275,245,0.008,2414,2.358,10.8,11.64
10/2/18 3:00,2360,275,300,0.008,2415,2.358,11,11.77
10/2/18 3:15,2361,275,315,0.008,2413,2.357,11.39,12.17
10/2/18 3:30,2362,275,330,0.008,2417,2.36,10.49,11.69
10/2/18 3:45,2363,275,345,0.008,2419,2.362,9,10.46
10/2/18 4:00,2364,275,400,0.008,2415,2.358,8.43,9.6
10/2/18 4:15,2365,275,415,0.009,2425,2.369,7.869,9.08
10/2/18 4:30,2366,275,430,0.009,2416,2.359,7.642,8.59
10/2/18 4:45,2367,275,445,0.009,2415,2.358,8.29,9.01
10/2/18 5:00,2368,275,500,0.009,2427,2.37,8.23,9.13
10/2/18 5:15,2369,275,515,0.009,2426,2.37,7.608,8.47
10/2/18 5:30,2370,275,530,0.009,2416,2.359,7.718,8.17
10/2/18 5:45,2371,275,545,0.009,2414,2.357,7.682,8.11
10/2/18 6:00,2372,275,600,0.009,2415,2.358,7.801,8.11
10/2/18 6:15,2373,275,615,0.009,2413,2.357,8.38,8.66
10/2/18 6:30,2374,275,630,0.009,2415,2.358,9.05,9.41
10/2/18 6:45,2375,275,645,0.009,2417,2.36,9.79,10.15
10/2/18 7:00,2376,275,700,0.009,2415,2.359,11.07,11.52
10/2/18 7:15,2377,275,715,0.009,2415,2.358,10.25,10.77
10/2/18 7:30,2378,275,730,0.009,2415,2.358,10.11,10.48
10/2/18 7:45,2379,275,745,0.009,2413,2.357,10.36,10.7
10/2/18 8:00,2380,275,800,0.009,2416,2.359,10.75,11.05
10/2/18 8:15,2381,275,815,0.009,2416,2.359,11.01,11.26
10/2/18 8:30,2382,275,830,0.009,2419,2.362,11.62,11.63
10/2/18 8:45,2383,275,845,0.009,2417,2.36,13.03,12.79
