TOA5,CR1000_rad_test,CR1000,75041,CR1000.Std.28,CPU:SH_tow1_meadowO_2019.CR1,8950,Enviro,,,,,,,,,
TIMESTAMP,RECORD,Day_of_Year,Hour,SWE_mv_Avg,maxbot_volt_Avg,maxbot_dist_Avg,TT_C,SBT_C,FuelM_Avg,PA_uS_Avg,VWC_1_Avg,EC_1_Avg,ST_1_Avg,P_1_Avg,PA_1_Avg,VR_1_Avg
TS,RN,,,,,,Deg C,Deg C,%,uSec,m^3/m^3,dS/m,Deg C,unitless,nSec,unitless
,,Smp,Smp,Avg,Avg,Avg,Smp,Smp,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg
5/28/19 14:00,0,148,1400,0.011,2646,2.584,13.47,13.44,NAN,NAN,NAN,0,0,0,0,0
5/28/19 14:15,1,148,1415,0.011,2646,2.584,12.34,14.16,NAN,NAN,NAN,0,0,0,0,0
5/28/19 14:45,2,148,1445,0.012,2637,2.575,12.37,13.23,NAN,NAN,0.081,0.058,1.639,7.067,0.32,0.216
5/28/19 15:00,3,148,1500,0.012,2637,2.576,12.6,13.28,NAN,NAN,0.566,0.408,11.48,49.47,2.239,1.512
5/28/19 15:15,4,148,1515,0.012,2347,2.292,13.22,14.49,NAN,NAN,NAN,0.414,11.56,49.48,2.239,1.519
5/28/19 15:30,5,148,1530,0.013,2630,2.569,12.53,13.35,NAN,NAN,NAN,0.414,11.56,49.48,2.239,1.519
5/28/19 15:45,6,148,1545,0.013,2643,2.581,13.63,14.41,NAN,NAN,NAN,0.414,11.56,49.48,2.239,1.519
5/28/19 16:00,7,148,1600,0.013,2626,2.565,14.29,14.35,NAN,NAN,NAN,0.414,11.56,49.48,2.239,1.519
5/28/19 16:15,8,148,1615,0.013,2635,2.573,12.89,14.14,NAN,NAN,NAN,0.414,11.56,49.48,2.239,1.519
5/28/19 16:30,9,148,1630,0.013,2641,2.579,14.07,15.44,NAN,NAN,NAN,0.414,11.56,49.48,2.239,1.519
5/28/19 16:45,10,148,1645,0.013,2623,2.561,13.3,14.68,NAN,NAN,NAN,0.414,11.56,49.48,2.239,1.519
5/28/19 17:00,11,148,1700,0.013,2640,2.578,13.75,14.04,NAN,NAN,NAN,0.414,11.56,49.48,2.239,1.519
5/28/19 17:15,12,148,1715,0.013,2659,2.597,14.26,14.5,NAN,NAN,NAN,0.414,11.56,49.48,2.239,1.519
5/28/19 17:30,13,148,1730,0.013,2658,2.596,15.13,15.91,NAN,NAN,NAN,0.414,11.56,49.48,2.239,1.519
5/28/19 17:45,14,148,1745,0.013,2662,2.6,16.36,17.7,NAN,NAN,NAN,0.414,11.56,49.48,2.239,1.519
5/28/19 18:00,15,148,1800,0.013,2675,2.612,14.68,16.6,NAN,NAN,NAN,0.414,11.56,49.48,2.239,1.519
5/28/19 18:15,16,148,1815,0.013,2669,2.606,13.55,14.44,NAN,NAN,NAN,0.414,11.56,49.48,2.239,1.519
5/28/19 18:30,17,148,1830,0.013,2663,2.6,13.07,13.92,NAN,NAN,NAN,0.414,11.56,49.48,2.239,1.519
5/28/19 18:45,18,148,1845,0.013,2660,2.597,12.66,13.82,NAN,NAN,NAN,0.414,11.56,49.48,2.239,1.519
5/28/19 19:00,19,148,1900,0.013,2667,2.604,13.11,14.5,NAN,NAN,NAN,0.414,11.56,49.48,2.239,1.519
5/28/19 19:15,20,148,1915,0.013,2651,2.589,11.6,12.68,NAN,NAN,NAN,0.414,11.56,49.48,2.239,1.519
5/28/19 19:30,21,148,1930,0.013,2652,2.59,9.92,10.72,NAN,NAN,NAN,0.414,11.56,49.48,2.239,1.519
5/28/19 19:45,22,148,1945,0.012,2642,2.58,8.36,8.99,NAN,NAN,NAN,0.414,11.56,49.48,2.239,1.519
5/28/19 20:00,23,148,2000,0.012,2642,2.58,7.029,7.527,NAN,NAN,NAN,0.414,11.56,49.48,2.239,1.519
5/28/19 20:15,24,148,2015,0.012,2644,2.582,5.954,6.322,NAN,NAN,NAN,0.414,11.56,49.48,2.239,1.519
5/28/19 20:30,25,148,2030,0.012,2639,2.578,5.152,5.474,NAN,NAN,NAN,0.414,11.56,49.48,2.239,1.519
5/28/19 20:45,26,148,2045,0.012,2626,2.564,4.421,4.697,NAN,NAN,NAN,0.414,11.56,49.48,2.239,1.519
5/28/19 21:00,27,148,2100,0.012,2636,2.575,3.852,4.079,NAN,NAN,NAN,0.414,11.56,49.48,2.239,1.519
5/28/19 21:15,28,148,2115,0.012,2657,2.595,3.422,3.635,NAN,NAN,NAN,0.414,11.56,49.48,2.239,1.519
5/28/19 21:30,29,148,2130,0.012,2655,2.593,3.028,3.223,NAN,NAN,NAN,0.414,11.56,49.48,2.239,1.519
5/28/19 21:45,30,148,2145,0.012,2604,2.543,2.629,2.82,NAN,NAN,NAN,0.414,11.56,49.48,2.239,1.519
5/28/19 22:00,31,148,2200,0.012,2575,2.515,2.266,2.443,NAN,NAN,NAN,0.414,11.56,49.48,2.239,1.519
5/28/19 22:15,32,148,2215,0.012,2564,2.504,2.062,2.209,NAN,NAN,NAN,0.414,11.56,49.48,2.239,1.519
5/28/19 22:30,33,148,2230,0.012,2574,2.514,2.059,2.122,NAN,NAN,NAN,0.414,11.56,49.48,2.239,1.519
5/28/19 22:45,34,148,2245,0.011,2606,2.545,2.372,2.351,NAN,NAN,NAN,0.414,11.56,49.48,2.239,1.519
5/28/19 23:00,35,148,2300,0.011,2617,2.556,2.725,2.782,NAN,NAN,NAN,0.414,11.56,49.48,2.239,1.519
5/28/19 23:15,36,148,2315,0.012,2607,2.546,2.482,2.651,NAN,NAN,NAN,0.414,11.56,49.48,2.239,1.519
5/28/19 23:30,37,148,2330,0.012,2610,2.549,2.411,2.492,NAN,NAN,NAN,0.414,11.56,49.48,2.239,1.519
5/28/19 23:45,38,148,2345,0.012,2610,2.549,2.144,2.318,NAN,NAN,NAN,0.414,11.56,49.48,2.239,1.519
5/29/19 0:00,39,149,0,0.011,2606,2.545,1.839,2.013,NAN,NAN,NAN,0.414,11.56,49.48,2.239,1.519
5/29/19 0:15,40,149,15,0.011,2606,2.545,1.685,1.838,NAN,NAN,NAN,0.414,11.56,49.48,2.239,1.519
5/29/19 0:30,41,149,30,0.012,2607,2.546,1.603,1.708,NAN,NAN,NAN,0.414,11.56,49.48,2.239,1.519
5/29/19 0:45,42,149,45,0.011,2609,2.548,1.553,1.708,NAN,NAN,NAN,0.414,11.56,49.48,2.239,1.519
5/29/19 1:00,43,149,100,0.011,2607,2.546,1.305,1.469,NAN,NAN,NAN,0.414,11.56,49.48,2.239,1.519
5/29/19 1:15,44,149,115,0.011,2606,2.545,1.119,1.251,NAN,NAN,NAN,0.414,11.56,49.48,2.239,1.519
5/29/19 1:30,45,149,130,0.011,2609,2.548,1.243,1.319,NAN,NAN,NAN,0.414,11.56,49.48,2.239,1.519
