TOA5,CR1000_tower4_N,CR1000,73550,CR1000.Std.28,CPU:SH_tow4_North_2017.CR1,58121,Enviro,,,,,,,,,,,,,,,,,,,
TIMESTAMP,RECORD,Day_of_Year,Hour,VWC_1_Avg,EC_1_Avg,ST_1_Avg,P_1_Avg,PA_1_Avg,VR_1_Avg,VWC_2_Avg,EC_2_Avg,ST_2_Avg,P_2_Avg,PA_2_Avg,VR_2_Avg,VWC_3_Avg,EC_3_Avg,ST_3_Avg,P_3_Avg,PA_3_Avg,VR_3_Avg,SWE_mv_Avg,maxbot_volt_Avg,maxbot_dist_Avg,TT_C,SBT_C
TS,RN,,,m^3/m^3,dS/m,Deg C,unitless,nSec,unitless,,,,,,,,,,,,,,,,Deg C,Deg C
,,Smp,Smp,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Smp,Smp
10/1/18 0:00,33824,274,0,0.027,0.001,10.1,2.9,1.198,1,0.027,0,10.9,2.895,1.204,1,0.075,0,10.67,4.793,1.273,1,0.006,4829,4.716,NAN,-108
10/1/18 0:15,33825,274,15,0.027,0,10.1,2.903,1.198,1,0.027,0,10.9,2.893,1.204,1,0.075,0,10.68,4.794,1.273,1,0.006,4829,4.716,NAN,-111.5
10/1/18 0:30,33826,274,30,0.027,0,10.07,2.902,1.198,1,0.027,0,10.88,2.895,1.204,1,0.075,0,10.67,4.792,1.273,1,0.006,4828,4.715,NAN,-108
10/1/18 0:45,33827,274,45,0.027,0,10.03,2.904,1.198,1,0.027,0,10.89,2.893,1.204,1,0.075,0,10.68,4.792,1.273,1,0.006,4827,4.714,NAN,-111.5
10/1/18 1:00,33828,274,100,0.027,0,9.99,2.904,1.198,1,0.027,0,10.88,2.898,1.204,1,0.075,0,10.67,4.793,1.273,1,0.006,4826,4.713,NAN,-111.5
10/1/18 1:15,33829,274,115,0.027,0,9.95,2.903,1.198,1,0.027,0,10.88,2.897,1.204,1,0.075,0,10.69,4.793,1.273,1,0.006,4826,4.713,NAN,-108
10/1/18 1:30,33830,274,130,0.027,0,9.93,2.904,1.198,1,0.027,0,10.88,2.894,1.204,1,0.075,0,10.68,4.792,1.273,1,0.006,4828,4.714,NAN,-108
