TOA5,CR1000_tower4_S,CR1000,75038,CR1000.Std.28,CPU:SH_tow4_South_2017.CR1,11039,Enviro,,,,,,,,,,,,,,,,,,,,,
TIMESTAMP,RECORD,Day_of_Year,Hour,VWC_1_Avg,EC_1_Avg,ST_1_Avg,P_1_Avg,PA_1_Avg,VR_1_Avg,VWC_2_Avg,EC_2_Avg,ST_2_Avg,P_2_Avg,PA_2_Avg,VR_2_Avg,VWC_3_Avg,EC_3_Avg,ST_3_Avg,P_3_Avg,PA_3_Avg,VR_3_Avg,SWE_mv_Avg,maxbot_volt_Avg,maxbot_dist_Avg,TT_C,SBT_C,FuelM_Avg,PA_uS_Avg
TS,RN,,,m^3/m^3,dS/m,Deg C,unitless,nSec,unitless,,,,,,,,,,,,,,,,Deg C,Deg C,%,uSec
,,Smp,Smp,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Smp,Smp,Avg,Avg
7/27/19 17:30,0,208,1730,0.046,0.001,21.9,3.632,1.223,1.001,0.081,0.001,16.87,5.044,1.293,1.002,0.071,0.002,14.77,4.646,1.276,1.002,0.025,4985,4.869,21.26,23.25,NAN,NAN
7/27/19 17:45,1,208,1745,0.046,0.001,21.9,3.632,1.223,1.001,0.081,0.001,16.87,5.044,1.293,1.002,0.071,0.002,14.77,4.646,1.276,1.002,0.025,4831,4.718,20.05,22.33,NAN,NAN
7/27/19 18:00,2,208,1800,0.046,0.001,21.89,3.633,1.223,1.001,0.081,0.001,16.93,5.048,1.293,1.001,0.071,0.002,14.77,4.648,1.276,1.002,0.025,4843,4.729,19.11,21.62,NAN,NAN
7/27/19 18:15,3,208,1815,0.008,0,3.65,0.605,0.204,0.167,0.013,0,2.826,0.841,0.216,0.167,0.012,0,2.459,0.778,0.213,0.167,0.025,4832,4.719,18.51,21.28,6.061,17.78
7/27/19 18:30,4,208,1830,0.046,0.001,21.9,3.632,1.223,1.001,0.081,0.001,16.96,5.044,1.293,1.002,0.072,0.002,14.76,4.669,1.277,1.003,0.025,4816,4.703,17.96,21.1,6.059,17.78
7/27/19 18:45,5,208,1845,0.046,0.001,21.91,3.633,1.223,1.001,0.081,0.001,16.98,5.044,1.293,1.002,0.071,0.002,14.76,4.647,1.276,1.002,0.025,4809,4.696,16.6,19.67,6.011,17.77
7/27/19 19:00,6,208,1900,0.046,0.001,21.91,3.634,1.223,1.001,0.081,0.001,17.02,5.043,1.293,1.002,0.071,0.002,14.76,4.649,1.276,1.002,0.025,4851,4.738,15.91,18.82,6.003,17.77
7/27/19 19:15,7,208,1915,0.046,0.001,21.87,3.633,1.223,1.001,0.081,0.001,17.07,5.046,1.293,1.001,0.071,0.002,14.74,4.646,1.276,1.002,0.025,4694,4.584,15.65,18.21,5.985,17.77
