TOA5,CR1000_tower4_S,CR1000,75038,CR1000.Std.28,CPU:SH_tow4_South_2017.CR1,11039,Enviro,,,,,,,,,,,,,,,,,,,,,
TIMESTAMP,RECORD,Day_of_Year,Hour,VWC_1_Avg,EC_1_Avg,ST_1_Avg,P_1_Avg,PA_1_Avg,VR_1_Avg,VWC_2_Avg,EC_2_Avg,ST_2_Avg,P_2_Avg,PA_2_Avg,VR_2_Avg,VWC_3_Avg,EC_3_Avg,ST_3_Avg,P_3_Avg,PA_3_Avg,VR_3_Avg,SWE_mv_Avg,maxbot_volt_Avg,maxbot_dist_Avg,TT_C,SBT_C,FuelM_Avg,PA_uS_Avg
TS,RN,,,m^3/m^3,dS/m,Deg C,unitless,nSec,unitless,,,,,,,,,,,,,,,,Deg C,Deg C,%,uSec
,,Smp,Smp,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Smp,Smp,Avg,Avg
10/1/19 0:00,6266,274,0,0.079,0.001,4.39,4.98,1.283,1.001,0.061,0.001,7.332,4.231,1.258,1.001,0.056,0.001,9.13,4.035,1.249,1.001,0.054,483.2,0.472,-10.65,-5.85,15.6,19.59
10/1/19 0:15,6267,274,15,0.08,0.001,4.357,5.004,1.284,1.002,0.061,0.001,7.339,4.231,1.258,1.001,0.056,0.001,9.13,4.032,1.249,1.001,0.054,483,0.472,-10.63,-5.672,15.71,19.61
10/1/19 0:30,6268,274,30,0.08,0.001,4.339,5.003,1.284,1.002,0.061,0.001,7.322,4.231,1.258,1.001,0.056,0.001,9.12,4.034,1.249,1.001,0.054,809,0.79,-10.08,-5.672,15.82,19.63
10/1/19 0:45,6269,274,45,0.08,0.001,4.317,5.005,1.284,1.001,0.061,0.001,7.313,4.231,1.258,1.001,0.056,0.001,9.11,4.036,1.249,1.001,0.054,2121,2.071,-10.73,-5.594,15.91,19.65
10/1/19 1:00,6270,274,100,0.08,0.001,4.335,5.006,1.284,1.001,0.061,0.001,7.263,4.231,1.258,1.001,0.056,0.001,9.12,4.035,1.249,1.001,0.054,2085,2.036,-10.81,-5.616,15.96,19.66
10/1/19 1:15,6271,274,115,0.081,0.001,4.341,5.031,1.285,1.002,0.061,0.001,7.286,4.233,1.258,1.001,0.056,0.001,9.09,4.037,1.249,1.001,0.054,1478,1.444,-10.41,-5.644,15.99,19.66
10/1/19 1:30,6272,274,130,0.081,0.001,4.346,5.031,1.285,1.002,0.061,0.001,7.27,4.231,1.258,1.001,0.056,0.001,9.09,4.035,1.249,1.001,0.054,1378,1.346,-10.41,-5.633,16.09,19.68
10/1/19 1:45,6273,274,145,0.081,0.001,4.291,5.031,1.285,1.002,0.061,0.001,7.272,4.231,1.258,1.001,0.056,0.001,9.06,4.034,1.249,1.001,0.054,1386,1.353,-9.74,-5.683,16.18,19.7
