TOA5,CR1000_tower3_cluster,CR1000,78272,CR1000.Std.28.02,CPU:SH_tow3_cluster_2017.CR1,29011,SapFlow,,,,,,,,,,
TIMESTAMP,RECORD,AVRD_Avg(1),AVRD_Avg(2),Sap_mV_Avg(1),Sap_mV_Avg(2),Sap_mV_Avg(3),Sap_mV_Avg(4),Sap_mV_Avg(5),Sap_mV_Avg(6),Sap_mV_Avg(7),Sap_mV_Avg(8),Sap_mV_Avg(9),Sap_mV_Avg(10),Sap_mV_Avg(11),Sap_mV_Avg(12),Sap_mV_Avg(13),Sap_mV_Avg(14)
TS,RN,,,,,,,,,,,,,,,,
,,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg
10/1/19 0:00,6250,2.71,3.114,0.158,4236,0.262,680.8,653.2,0.199,0.178,59.03,65.37,-149.1,-108.8,-41.6,-192.1,0.23
10/1/19 0:15,6251,2.71,3.112,0.164,4230,0.261,678.5,651.7,0.195,0.178,65.62,71.39,-142.8,-104.4,-40.27,-186.8,0.231
10/1/19 0:30,6252,2.71,3.108,0.164,4232,0.261,697.4,669.4,0.18,0.178,65.99,71.75,-139.7,-103.2,-40.38,-187.7,0.229
10/1/19 0:45,6253,2.71,3.108,0.147,4228,0.26,706.5,678.3,0.178,0.177,70.42,75.95,-133.7,-98.8,-38.68,-184.5,0.229
10/1/19 1:00,6254,2.71,3.108,0.145,4221,0.26,722.8,693.3,0.182,0.178,65.33,71.24,-132.6,-98.2,-38.65,-174.6,0.228
10/1/19 1:15,6255,2.71,3.108,0.141,4214,0.26,772.7,738.4,0.173,0.177,61.96,68.01,-134.2,-99.3,-40.61,-173.6,0.227
10/1/19 1:30,6256,2.71,3.112,0.14,4210,0.26,817,776.9,0.168,0.177,62.92,68.97,-135,-99.7,-42.28,-176.1,0.226
10/1/19 1:45,6257,2.71,3.114,0.144,4203,0.26,799.6,762.8,0.177,0.177,66.61,72.15,-128.4,-93.2,-39.51,-162.7,0.225
10/1/19 2:00,6258,2.71,3.114,0.14,4200,0.26,859,813,0.186,0.177,67.77,73.47,-137.7,-96.6,-40.74,-155.2,0.225
10/1/19 2:15,6259,2.71,3.114,0.137,4190,0.26,906,850,0.186,0.177,62.75,68.58,-212,-153.9,-80.4,-181.8,0.224
10/1/19 2:30,6260,2.71,3.114,0.146,4187,0.259,960,889,0.183,0.177,69.5,74.97,-194.7,-150.5,-85.3,-194.8,0.223
10/1/19 2:45,6261,2.71,3.114,0.156,4186,0.259,989,909,0.181,0.177,74.77,79.68,-183.7,-143.6,-82,-191.8,0.223
10/1/19 3:00,6262,2.71,3.114,0.164,4185,0.259,993,912,0.184,0.177,63.65,69.72,-189.4,-146.7,-84.8,-204.9,0.223
10/1/19 3:15,6263,2.71,3.112,0.16,4185,0.259,1005,921,0.185,0.177,79.3,84.2,-175.3,-138.5,-80.9,-200.8,0.222
10/1/19 3:30,6264,2.71,3.112,0.174,4183,0.258,994,913,0.193,0.177,66.71,72.42,-179.1,-138.8,-81.2,-196.2,0.222
10/1/19 3:45,6265,2.71,3.112,0.178,4182,0.258,1053,952,0.187,0.177,71.51,76.85,-178,-137.5,-81.8,-195.4,0.222
10/1/19 4:00,6266,2.71,3.112,0.169,4177,0.258,1077,968,0.191,0.177,59.82,66.01,-187.2,-144,-86.9,-196.6,0.221
10/1/19 4:15,6267,2.71,3.114,0.162,4171,0.258,1097,980,0.199,0.177,68.71,74.24,-184,-144.5,-89.1,-207.4,0.221
10/1/19 4:30,6268,2.71,3.112,0.178,4172,0.258,1124,994,0.199,0.176,64.44,70.39,-193,-149.3,-93.5,-211.2,0.221
10/1/19 4:45,6269,2.71,3.108,0.178,4170,0.258,1132,998,0.201,0.176,70.94,76.3,-189.9,-148.1,-94.7,-205.5,0.22
10/1/19 5:00,6270,2.71,3.108,0.177,4165,0.257,1124,994,0.201,0.177,71.81,77.33,-186.9,-144.6,-93.1,-198.2,0.221
