TOA5,CR1000_tower4_N,CR1000,73550,CR1000.Std.28,CPU:SH_Site4_North_2018.CR1,50002,SapFlow,,,,,,
TIMESTAMP,RECORD,AVRD_Avg(1),AVRD_Avg(2),Sap_mV_Avg(1),Sap_mV_Avg(2),Sap_mV_Avg(3),Sap_mV_Avg(4),Sap_mV_Avg(5),Sap_mV_Avg(6),Sap_mV_Avg(7),Sap_mV_Avg(8),Sap_mV_Avg(9),Sap_mV_Avg(10)
TS,RN,,,,,,,,,,,,
,,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg
10/1/19 0:00,6259,2.881,2.974,0.26,0.142,0.402,0.404,0.212,-0.013,3488,1167,0.23,0.183
10/1/19 0:15,6260,2.881,2.973,0.26,0.142,0.401,0.404,0.213,-0.013,3486,1165,0.226,0.186
10/1/19 0:30,6261,2.88,2.973,0.26,0.142,0.401,0.404,0.213,-0.014,3489,1167,0.227,0.188
10/1/19 0:45,6262,2.881,2.974,0.26,0.141,0.4,0.404,0.213,-0.014,3489,1166,0.226,0.185
10/1/19 1:00,6263,2.881,2.973,0.26,0.139,0.4,0.404,0.213,-0.014,3489,1167,0.226,0.183
10/1/19 1:15,6264,2.881,2.973,0.26,0.14,0.399,0.405,0.213,-0.013,3491,1167,0.226,0.184
10/1/19 1:30,6265,2.881,2.973,0.26,0.141,0.399,0.404,0.213,-0.014,3487,1167,0.227,0.186
10/1/19 1:45,6266,2.881,2.973,0.26,0.14,0.398,0.404,0.213,-0.014,3486,1166,0.227,0.187
10/1/19 2:00,6267,2.881,2.973,0.26,0.141,0.398,0.404,0.213,-0.014,3485,1166,0.226,0.187
10/1/19 2:15,6268,2.881,2.973,0.26,0.14,0.398,0.404,0.213,-0.014,3478,1165,0.225,0.188
10/1/19 2:30,6269,2.881,2.974,0.26,0.138,0.398,0.405,0.212,-0.015,3483,1166,0.226,0.189
10/1/19 2:45,6270,2.881,2.974,0.261,0.137,0.397,0.405,0.212,-0.014,3482,1166,0.227,0.188
10/1/19 3:00,6271,2.881,2.973,0.261,0.141,0.397,0.404,0.212,-0.015,3477,1166,0.227,0.183
10/1/19 3:15,6272,2.881,2.973,0.26,0.141,0.397,0.404,0.212,-0.015,3477,1165,0.227,0.186
10/1/19 3:30,6273,2.881,2.973,0.26,0.14,0.397,0.404,0.212,-0.015,3480,1165,0.227,0.189
10/1/19 3:45,6274,2.881,2.973,0.261,0.141,0.397,0.404,0.212,-0.014,3483,1165,0.227,0.19
10/1/19 4:00,6275,2.88,2.973,0.261,0.141,0.397,0.404,0.212,-0.015,3483,1166,0.229,0.192
10/1/19 4:15,6276,2.881,2.973,0.261,0.141,0.397,0.405,0.212,-0.014,3485,1168,0.23,0.195
10/1/19 4:30,6277,2.881,2.973,0.261,0.14,0.398,0.405,0.212,-0.014,3486,1170,0.23,0.195
10/1/19 4:45,6278,2.881,2.973,0.261,0.142,0.398,0.405,0.212,-0.014,3497,1173,0.229,0.196
10/1/19 5:00,6279,2.881,2.974,0.261,0.14,0.398,0.406,0.212,-0.013,3498,1174,0.23,0.197
10/1/19 5:15,6280,2.881,2.973,0.261,0.142,0.398,0.406,0.212,-0.013,3498,1175,0.232,0.198
10/1/19 5:30,6281,2.881,2.974,0.261,0.144,0.398,0.406,0.212,-0.014,3500,1177,0.233,0.199
10/1/19 5:45,6282,2.881,2.973,0.261,0.144,0.398,0.406,0.212,-0.013,3503,1178,0.232,0.2
10/1/19 6:00,6283,2.881,2.973,0.261,0.145,0.398,0.406,0.211,-0.013,3505,1179,0.232,0.201
10/1/19 6:15,6284,2.881,2.973,0.261,0.144,0.398,0.406,0.211,-0.013,3507,1180,0.232,0.201
10/1/19 6:30,6285,2.881,2.973,0.261,0.145,0.398,0.407,0.211,-0.013,3502,1180,0.232,0.202
10/1/19 6:45,6286,2.881,2.973,0.261,0.146,0.399,0.407,0.211,-0.013,3510,1182,0.234,0.203
10/1/19 7:00,6287,2.881,2.973,0.261,0.147,0.399,0.407,0.211,-0.012,3515,1184,0.234,0.205
10/1/19 7:15,6288,2.881,2.975,0.261,0.147,0.4,0.408,0.211,-0.012,3522,1187,0.235,0.207
10/1/19 7:30,6289,2.881,2.974,0.261,0.147,0.4,0.408,0.211,-0.011,3523,1189,0.237,0.208
10/1/19 7:45,6290,2.881,2.974,0.261,0.147,0.401,0.409,0.213,-0.01,3528,1193,0.238,0.21
10/1/19 8:00,6291,2.88,2.976,0.261,0.149,0.402,0.41,0.212,-0.01,3537,1197,0.238,0.212
10/1/19 8:15,6292,2.88,2.976,0.262,0.149,0.402,0.41,0.212,-0.009,3545,1202,0.239,0.214
10/1/19 8:30,6293,2.88,2.976,0.262,0.149,0.402,0.411,0.212,-0.009,3552,1205,0.24,0.215
10/1/19 8:45,6294,2.88,2.976,0.263,0.149,0.403,0.412,0.213,-0.008,3559,1211,0.244,0.219
10/1/19 9:00,6295,2.88,2.978,0.262,0.15,0.405,0.413,0.213,-0.006,3582,1220,0.251,0.225
10/1/19 9:15,6296,2.88,2.978,0.263,0.149,0.406,0.414,0.212,-0.002,3608,1240,0.26,0.228
10/1/19 9:30,6297,2.88,2.976,0.262,0.15,0.408,0.414,0.213,-0.001,3630,1252,0.267,0.23
10/1/19 9:45,6298,2.88,2.981,0.262,0.152,0.409,0.415,0.213,0.001,3654,1265,0.28,0.235
10/1/19 10:00,6299,2.88,2.979,0.263,0.157,0.409,0.416,0.214,0.002,3723,1315,0.314,0.24
10/1/19 10:15,6300,2.88,2.981,0.263,0.157,0.41,0.414,0.213,0.002,3730,1314,0.335,0.245
10/1/19 10:30,6301,2.88,2.979,0.264,0.158,0.41,0.413,0.213,0.004,3741,1317,0.337,0.247
10/1/19 10:45,6302,2.88,2.979,0.263,0.158,0.41,0.413,0.213,0.006,3754,1309,0.319,0.246
10/1/19 11:00,6303,2.88,2.978,0.263,0.16,0.41,0.412,0.213,0.011,3778,1323,0.295,0.248
10/1/19 11:15,6304,2.88,2.977,0.263,0.161,0.41,0.41,0.214,0.016,3829,1356,0.275,0.254
10/1/19 11:30,6305,2.88,2.975,0.263,0.161,0.409,0.408,0.214,0.021,3844,1366,0.266,0.256
10/1/19 11:45,6306,2.88,2.975,0.263,0.161,0.409,0.408,0.214,0.024,3826,1354,0.262,0.255
10/1/19 12:00,6307,2.88,2.974,0.264,0.165,0.408,0.407,0.214,0.025,3812,1344,0.261,0.258
10/1/19 12:15,6308,2.88,2.973,0.265,0.177,0.408,0.407,0.215,0.027,3806,1340,0.263,0.259
