TOA5,CR1000_tower4_S,CR1000,75038,CR1000.Std.28,CPU:SH_tow4_South_2017.CR1,11039,SapFlow,,,,,,
TIMESTAMP,RECORD,AVRD_Avg(1),AVRD_Avg(2),Sap_mV_Avg(1),Sap_mV_Avg(2),Sap_mV_Avg(3),Sap_mV_Avg(4),Sap_mV_Avg(5),Sap_mV_Avg(6),Sap_mV_Avg(7),Sap_mV_Avg(8),Sap_mV_Avg(9),Sap_mV_Avg(10)
TS,RN,,,,,,,,,,,,
,,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg
10/1/19 0:00,6266,2.986,3.013,0.361,0.232,0.21,0.274,NAN,-1493,0.247,-2344,-1762,0.448
10/1/19 0:15,6267,2.986,3.013,0.361,0.231,0.21,0.274,NAN,-1561,0.247,-2344,-1762,0.448
10/1/19 0:30,6268,2.986,3.013,0.361,0.231,0.21,0.275,NAN,-1578,0.248,-2344,-1762,0.448
10/1/19 0:45,6269,2.986,3.013,0.361,0.231,0.21,0.275,NAN,-1580,0.247,-2346,-1761,0.448
10/1/19 1:00,6270,2.986,3.013,0.362,0.232,0.211,0.276,NAN,-1585,0.245,-2346,-1762,0.448
10/1/19 1:15,6271,2.986,3.013,0.362,0.231,0.211,0.277,NAN,-1591,0.244,-2346,-1762,0.448
10/1/19 1:30,6272,2.986,3.013,0.361,0.232,0.211,0.275,NAN,-1595,0.244,-2347,-1763,0.448
10/1/19 1:45,6273,2.986,3.013,0.361,0.231,0.211,0.275,NAN,-1598,0.244,-2347,-1763,0.448
10/1/19 2:00,6274,2.986,3.013,0.361,0.231,0.211,0.277,NAN,-1600,0.244,-2347,-1764,0.449
10/1/19 2:15,6275,2.986,3.013,0.362,0.231,0.211,0.279,NAN,-1602,0.242,-2347,-1765,0.449
10/1/19 2:30,6276,2.986,3.013,0.361,0.231,0.211,0.279,NAN,-1601,0.242,-2347,-1764,0.449
10/1/19 2:45,6277,2.986,3.013,0.361,0.231,0.21,0.278,NAN,-1602,0.243,-2348,-1765,0.45
10/1/19 3:00,6278,2.986,3.013,0.361,0.232,0.21,0.276,NAN,-1605,0.244,-2348,-1764,0.45
10/1/19 3:15,6279,2.986,3.013,0.361,0.232,0.211,0.277,NAN,-1610,0.244,-2348,-1763,0.451
10/1/19 3:30,6280,2.986,3.014,0.361,0.232,0.211,0.278,NAN,-1609,0.245,-2349,-1764,0.452
10/1/19 3:45,6281,2.986,3.013,0.361,0.231,0.212,0.279,NAN,-1602,0.245,-2349,-1763,0.453
10/1/19 4:00,6282,2.986,3.013,0.362,0.232,0.212,0.281,NAN,-1604,0.245,-2348,-1764,0.453
10/1/19 4:15,6283,2.991,3.014,0.362,0.232,0.213,0.282,NAN,-1598,0.246,-2349,-1765,0.454
10/1/19 4:30,6284,2.986,3.014,0.362,0.232,0.214,0.285,NAN,-1601,0.247,-2348,-1764,0.454
10/1/19 4:45,6285,2.986,3.013,0.363,0.232,0.214,0.285,NAN,-1605,0.248,-2348,-1767,0.455
10/1/19 5:00,6286,2.986,3.013,0.363,0.232,0.214,0.287,-2.886,-1488,0.248,-2347,-1763,0.455
10/1/19 5:15,6287,2.986,3.013,0.363,0.232,0.215,0.286,-4.371,-1459,0.248,-2345,-1762,0.455
10/1/19 5:30,6288,2.986,3.013,0.363,0.233,0.214,0.289,-4.854,-1485,0.249,-2344,-1761,0.456
10/1/19 5:45,6289,2.986,3.013,0.364,0.232,0.215,0.291,-7.714,-1453,0.249,-2343,-1762,0.455
10/1/19 6:00,6290,2.986,3.013,0.363,0.232,0.215,0.29,-9.31,-1459,0.249,-2342,-1761,0.456
10/1/19 6:15,6291,2.986,3.013,0.363,0.232,0.214,0.29,-68.42,-1318,0.249,-2343,-1767,0.456
10/1/19 6:30,6292,2.986,3.013,0.363,0.232,0.214,0.289,-433.3,-1120,0.249,-2346,-1775,0.456
10/1/19 6:45,6293,2.986,3.013,0.363,0.232,0.214,0.291,-561.3,-1127,0.25,-2337,-1755,0.457
10/1/19 7:00,6294,2.986,3.013,0.364,0.233,0.214,0.29,-543.1,-1125,0.25,-2337,-1755,0.457
10/1/19 7:15,6295,2.986,3.013,0.364,0.233,0.214,0.293,-347.4,-1125,0.25,-2337,-1758,0.458
10/1/19 7:30,6296,2.986,3.013,0.364,0.232,0.215,0.297,-449.6,-1125,0.252,-2337,-1761,0.458
10/1/19 7:45,6297,2.986,3.013,0.365,0.233,0.216,0.303,-730.3,-1136,0.254,-2334,-1756,0.459
10/1/19 8:00,6298,2.986,3.013,0.366,0.233,0.217,0.306,-576.4,-1141,0.254,-2334,-1758,0.459
10/1/19 8:15,6299,2.986,3.013,0.367,0.232,0.218,0.309,-478,-1180,0.255,-2327,-1744,0.461
10/1/19 8:30,6300,2.986,3.013,0.367,0.232,0.218,0.313,-133.8,-1172,0.254,-2327,-1746,0.461
10/1/19 8:45,6301,2.986,3.013,0.367,0.233,0.218,0.319,8.38,-1449,0.255,-2323,-1743,0.462
10/1/19 9:00,6302,2.986,3.013,0.368,0.233,0.219,0.331,NAN,-1496,0.257,-2322,-1746,0.463
10/1/19 9:15,6303,2.986,3.013,0.368,0.232,0.221,0.378,9.9,-1477,0.258,-2319,-1747,0.464
10/1/19 9:30,6304,2.986,3.013,0.37,0.233,0.219,0.38,-3.029,-1501,0.258,-2319,-1750,0.465
10/1/19 9:45,6305,2.986,3.013,0.371,0.233,0.22,0.385,-848,-1197,0.259,-2325,-1769,0.466
10/1/19 10:00,6306,2.986,3.013,0.372,0.232,0.219,0.401,-889,-1191,0.26,-2312,-1734,0.468
10/1/19 10:15,6307,2.986,3.013,0.373,0.233,0.222,0.395,-521.9,-1195,0.26,-2310,-1738,0.468
10/1/19 10:30,6308,2.986,3.013,0.374,0.233,0.223,0.417,-390.9,-1200,0.261,-2312,-1740,0.469
10/1/19 10:45,6309,2.986,3.013,0.374,0.232,0.224,0.418,-734.5,-1201,0.26,-2313,-1753,0.471
10/1/19 11:00,6310,2.986,3.013,0.375,0.231,0.233,0.407,-1086,-1201,0.259,-2306,-1746,0.472
10/1/19 11:15,6311,2.986,3.013,0.375,0.231,0.244,0.393,-1015,-1200,0.258,-2299,-1733,0.473
10/1/19 11:30,6312,2.986,3.013,0.376,0.231,0.238,0.393,-734,-1197,0.257,-2305,-1740,0.473
10/1/19 11:45,6313,2.986,3.013,0.376,0.232,0.231,0.386,-813,-1216,0.257,-2306,-1742,0.475
10/1/19 12:00,6314,2.986,3.013,0.377,0.232,0.228,0.384,-846,-1224,0.257,-2303,-1738,0.475
