TIMESTAMP,RECORD,Day_of_Year,Hour,VWC_1_Avg,EC_1_Avg,ST_1_Avg,P_1_Avg,PA_1_Avg,VR_1_Avg,VWC_2_Avg,EC_2_Avg,ST_2_Avg,P_2_Avg,PA_2_Avg,VR_2_Avg,VWC_3_Avg,EC_3_Avg,ST_3_Avg,P_3_Avg,PA_3_Avg,VR_3_Avg,SWE_mv_Avg,JUDD_AT_Avg,JUDD_Depth_Avg,Judd_offset_Avg,TT_C,SBT_C
8/14/17 13:30,0,226,1330,0,0,0,0,0,0,NAN,0,0,0,0,0,0.04,0.005,3.105,2.164,0.358,0.257,NAN,-480.2,133.3,0,NAN,-63.76
8/14/17 13:45,1,226,1345,0,0,0,0,0,0,NAN,0,0,0,0,0,0.161,0.021,12.42,8.66,1.431,1.028,NAN,NAN,252,0,NAN,-64.72
8/14/17 14:00,2,226,1400,NAN,0,0,0,0,0,NAN,0,0,0,0,0,0.161,0.022,12.42,8.65,1.431,1.028,NAN,NAN,247.5,0,NAN,-65.08
8/14/17 14:15,3,226,1415,NAN,0,0,0,0,0,NAN,0,0,0,0,0,0.161,0.022,12.41,8.65,1.431,1.028,NAN,NAN,246.5,0,NAN,-65.22
8/14/17 14:30,4,226,1430,NAN,0,1.085,0.143,0.077,0.067,NAN,0,0,0,0,0,0.161,0.022,12.41,8.66,1.431,1.028,NAN,NAN,245.8,0,NAN,-65.67
8/14/17 14:45,5,226,1445,0.007,0.001,16.27,2.149,1.162,1.001,NAN,0,0,0,0,0,0.161,0.022,12.43,8.65,1.431,1.028,NAN,NAN,245.1,0,NAN,-65.75
8/14/17 15:00,6,226,1500,0.011,0.001,16.09,2.311,1.169,1.001,NAN,0,0,0,0,0,0.161,0.022,12.42,8.65,1.431,1.028,NAN,NAN,244.9,0,NAN,-65.45
8/14/17 15:15,7,226,1515,0.07,0.002,13.57,4.59,1.266,1.003,NAN,0,0,0,0,0,0.161,0.022,12.4,8.65,1.431,1.028,NAN,NAN,245.5,0,NAN,-65.37
8/14/17 15:30,8,226,1530,0.07,0.002,13.53,4.592,1.266,1.002,NAN,0,0,0,0,0,0.161,0.022,12.42,8.62,1.43,1.028,NAN,NAN,245.4,0,NAN,-65.45
8/14/17 15:45,9,226,1545,NAN,0.002,13.53,4.592,1.266,1.002,NAN,0,0,0,0,0,0.161,0.022,12.4,8.62,1.43,1.028,NAN,NAN,245.3,0,NAN,-65.45
8/14/17 16:00,10,226,1600,NAN,0.002,13.74,4.429,1.259,1.002,NAN,0,0,0,0,0,0.161,0.022,12.4,8.62,1.43,1.028,NAN,NAN,245.5,0,NAN,-65.08
8/14/17 16:15,11,226,1615,NAN,0.001,16.69,2.151,1.162,1.001,NAN,0,0,0,0,0,0.161,0.022,12.41,8.62,1.43,1.028,NAN,NAN,245.9,0,NAN,-64.72
