TOA5,CR1000_tower3_cluster,CR1000,75041,CR1000.Std.28,CPU:SH_Site3_11042016.CR1,52912,Enviro,,,,,,,,,,,,,,,,,,,,,
TIMESTAMP,RECORD,Day_of_Year,Hour,VWC_1_Avg,EC_1_Avg,ST_1_Avg,P_1_Avg,PA_1_Avg,VR_1_Avg,VWC_2_Avg,EC_2_Avg,ST_2_Avg,P_2_Avg,PA_2_Avg,VR_2_Avg,VWC_3_Avg,EC_3_Avg,ST_3_Avg,P_3_Avg,PA_3_Avg,VR_3_Avg,SWE_mv_Avg,SWE_mv2_Avg,JUDD_AT_Avg,JUDD_Depth_Avg,Judd_offset_Avg,TT_C,SBT_C
TS,RN,,,m^3/m^3,dS/m,Deg C,unitless,nSec,unitless,,,,,,,,,,,,,,,,,,Deg C,Deg C
,,Smp,Smp,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Smp,Smp
11/4/16 14:30,0,309,1430,0.348,0.005,2.301,20.23,1.742,1.006,0.383,0.011,4.429,23.24,1.813,1.014,0.364,0.017,5.522,21.56,1.778,1.021,NAN,-0.145,10.59,-107.4,0,-0.648,13.02
11/4/16 14:45,1,309,1445,0.348,0.005,2.301,20.23,1.742,1.006,0.383,0.011,4.429,23.24,1.813,1.014,0.364,0.017,5.521,21.57,1.778,1.021,NAN,-0.145,9.94,-107.4,0,-0.613,11.02
11/4/16 15:00,2,309,1500,0.348,0.005,2.302,20.23,1.742,1.006,0.383,0.011,4.428,23.29,1.814,1.014,0.365,0.017,5.507,21.62,1.779,1.022,NAN,-0.146,8.66,-107.3,0,-0.463,9.59
11/4/16 15:15,3,309,1515,0.348,0.005,2.276,20.23,1.742,1.006,0.383,0.011,4.445,23.29,1.814,1.014,0.365,0.017,5.502,21.66,1.78,1.022,NAN,-0.146,8.15,-107.2,0,-0.524,8.71
11/4/16 15:30,4,309,1530,0.348,0.005,2.273,20.23,1.742,1.006,0.383,0.012,4.412,23.29,1.814,1.015,0.365,0.017,5.509,21.67,1.78,1.021,NAN,-0.146,6.541,-107,0,-0.561,7.581
11/4/16 15:45,5,309,1545,0.348,0.006,2.242,20.23,1.742,1.007,0.383,0.011,4.425,23.29,1.814,1.014,0.366,0.017,5.492,21.71,1.781,1.022,NAN,-0.145,5.461,-107,0,-0.523,6.393
11/4/16 16:00,6,309,1600,0.348,0.005,2.265,20.23,1.742,1.006,0.383,0.011,4.402,23.29,1.814,1.014,0.366,0.017,5.486,21.71,1.781,1.022,NAN,-0.145,4.373,-107.1,0,-0.53,5.22
11/4/16 16:15,7,309,1615,0.348,0.006,2.248,20.23,1.742,1.007,0.383,0.011,4.405,23.29,1.814,1.014,0.366,0.017,5.487,21.71,1.781,1.022,NAN,-0.145,3.2,-107,0,-0.575,4.119
11/4/16 16:30,8,309,1630,0.348,0.006,2.262,20.23,1.742,1.007,0.383,0.011,4.413,23.29,1.814,1.014,0.366,0.017,5.459,21.71,1.781,1.022,NAN,-0.146,2.702,-106.9,0,-0.613,3.35
11/4/16 16:45,9,309,1645,0.348,0.005,2.287,20.22,1.742,1.006,0.383,0.011,4.394,23.29,1.814,1.014,0.366,0.017,5.466,21.71,1.781,1.022,NAN,-0.147,2.286,-106.9,0,-0.684,2.776
11/4/16 17:00,10,309,1700,0.348,0.005,2.271,20.18,1.741,1.007,0.383,0.011,4.411,23.29,1.814,1.014,0.366,0.017,5.478,21.71,1.781,1.022,NAN,-0.147,2.053,-106.9,0,-0.785,2.357
11/4/16 17:15,11,309,1715,0.348,0.005,2.257,20.18,1.741,1.006,0.383,0.011,4.408,23.29,1.814,1.014,0.366,0.017,5.453,21.71,1.781,1.022,NAN,-0.148,1.661,-106.8,0,-0.906,2.041
11/4/16 17:30,12,309,1730,0.348,0.005,2.262,20.18,1.741,1.005,0.383,0.011,4.401,23.29,1.814,1.014,0.366,0.017,5.459,21.71,1.781,1.022,NAN,-0.148,1.451,-106.7,0,-0.935,1.76
11/4/16 17:45,13,309,1745,0.348,0.005,2.291,20.17,1.741,1.006,0.383,0.011,4.356,23.24,1.813,1.014,0.366,0.017,5.465,21.71,1.781,1.022,NAN,-0.148,1.539,-106.8,0,-0.961,1.74
11/4/16 18:00,14,309,1800,0.347,0.006,2.234,20.13,1.74,1.007,0.383,0.011,4.4,23.24,1.813,1.014,0.366,0.017,5.463,21.71,1.781,1.022,NAN,-0.148,1.577,-106.8,0,-1.113,1.849
11/4/16 18:15,15,309,1815,0.347,0.006,2.236,20.13,1.74,1.007,0.383,0.011,4.381,23.24,1.813,1.014,0.366,0.017,5.444,21.71,1.781,1.022,NAN,-0.148,1.552,-106.8,0,-1.229,1.729
11/4/16 18:30,16,309,1830,0.347,0.006,2.3,20.13,1.74,1.007,0.383,0.011,4.386,23.24,1.813,1.014,0.365,0.017,5.448,21.66,1.78,1.022,NAN,-0.147,1.262,-106.7,0,-1.322,1.61
11/4/16 18:45,17,309,1845,0.347,0.005,2.233,20.13,1.74,1.006,0.383,0.011,4.373,23.24,1.813,1.014,0.365,0.017,5.421,21.66,1.78,1.022,NAN,-0.147,1.007,-106.7,0,-1.385,1.436
11/4/16 19:00,18,309,1900,0.347,0.005,2.215,20.13,1.74,1.006,0.382,0.011,4.366,23.24,1.813,1.014,0.365,0.017,5.438,21.66,1.78,1.021,NAN,-0.148,1.007,-106.7,0,-1.615,1.305
11/4/16 19:15,19,309,1915,0.347,0.006,2.22,20.13,1.739,1.007,0.382,0.011,4.377,23.19,1.812,1.014,0.365,0.017,5.44,21.66,1.78,1.021,NAN,-0.148,0.462,-106.9,0,-1.841,0.891
11/4/16 19:30,20,309,1930,0.346,0.005,2.199,20.08,1.738,1.006,0.382,0.011,4.376,23.19,1.812,1.014,0.365,0.017,5.434,21.61,1.779,1.022,NAN,-0.148,0.339,-107,0,-1.912,0.652
11/4/16 19:45,21,309,1945,0.346,0.006,2.15,20.08,1.738,1.007,0.382,0.011,4.358,23.19,1.812,1.014,0.365,0.017,5.432,21.61,1.779,1.022,NAN,-0.148,-0.016,-107,0,-2.222,0.347
11/4/16 20:00,22,309,2000,0.346,0.006,2.181,20.08,1.738,1.007,0.382,0.011,4.347,23.19,1.812,1.015,0.365,0.017,5.441,21.61,1.779,1.022,NAN,-0.148,-0.116,-107,0,-2.337,0.086
11/4/16 20:15,23,309,2015,0.346,0.006,2.189,20.08,1.738,1.007,0.382,0.011,4.36,23.19,1.812,1.015,0.365,0.017,5.41,21.61,1.779,1.022,NAN,-0.147,-0.493,-106.9,0,-2.524,-0.126
11/4/16 20:30,24,309,2030,0.346,0.006,2.189,20.08,1.738,1.007,0.382,0.011,4.381,23.19,1.812,1.014,0.364,0.017,5.41,21.56,1.778,1.021,NAN,-0.147,-0.493,-106.9,0,-2.594,-0.229
11/4/16 20:45,25,309,2045,0.346,0.006,2.178,20.08,1.738,1.007,0.382,0.011,4.388,23.18,1.812,1.014,0.364,0.017,5.408,21.56,1.778,1.021,NAN,-0.146,-0.493,-106.9,0,-2.582,-0.24
11/4/16 21:00,26,309,2100,0.346,0.005,2.19,20.08,1.738,1.006,0.381,0.011,4.364,23.14,1.811,1.014,0.364,0.017,5.407,21.56,1.778,1.021,NAN,-0.146,-0.334,-106.9,0,-2.748,-0.131
11/4/16 21:15,27,309,2115,0.346,0.005,2.16,20.03,1.737,1.006,0.381,0.011,4.356,23.14,1.811,1.014,0.364,0.017,5.404,21.56,1.778,1.021,NAN,-0.145,-0.602,-107,0,-3.009,-0.371
11/4/16 21:30,28,309,2130,0.346,0.005,2.145,20.03,1.737,1.006,0.381,0.011,4.398,23.14,1.811,1.014,0.364,0.017,5.4,21.56,1.778,1.022,NAN,-0.144,-0.529,-106.9,0,-2.97,-0.327
11/4/16 21:45,29,309,2145,0.346,0.005,2.151,20.03,1.737,1.006,0.381,0.011,4.341,23.14,1.811,1.014,0.364,0.017,5.415,21.51,1.777,1.022,NAN,-0.143,-0.493,-106.9,0,-3.054,-0.262
