TOA5,CR1000_tower3_cluster,CR1000,78272,CR1000.Std.28.02,CPU:SH_tow3_cluster_2017.CR1,22084,Enviro,,,,,,,,,,,,,,,,,,,,
TIMESTAMP,RECORD,Day_of_Year,Hour,VWC_1_Avg,EC_1_Avg,ST_1_Avg,P_1_Avg,PA_1_Avg,VR_1_Avg,VWC_2_Avg,EC_2_Avg,ST_2_Avg,P_2_Avg,PA_2_Avg,VR_2_Avg,VWC_3_Avg,EC_3_Avg,ST_3_Avg,P_3_Avg,PA_3_Avg,VR_3_Avg,SWE_mv_Avg,maxbot_volt_Avg,maxbot_dist_Avg,TT_C,SBT_C,
TS,RN,,,m^3/m^3,dS/m,Deg C,unitless,nSec,unitless,,,,,,,,,,,,,,,,Deg C,Deg C,
,,Smp,Smp,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Smp,Smp,
9/28/17 13:45,0,271,1345,0.022,0,1.518,1.188,0.181,0.126,0.015,0,1.121,0.832,0.169,0.126,0.014,0.001,1.119,0.808,0.168,0.126,NAN,-562.8,214.6,0,NAN,-273.2
9/28/17 14:00,1,271,1400,0.178,0.004,12.16,9.5,1.448,1.004,0.118,0.003,8.96,6.658,1.352,1.004,0.114,0.008,8.95,6.462,1.346,1.01,NAN,-606.7,232.8,0,NAN,-273.2
9/28/17 14:15,2,271,1415,0.178,0.003,12.33,9.5,1.448,1.004,0.118,0.003,8.91,6.66,1.352,1.004,0.114,0.008,8.96,6.464,1.346,1.01,NAN,-608.1,233.2,0,NAN,-273.2
9/28/17 14:30,3,271,1430,0.178,0.004,12.44,9.5,1.448,1.004,0.118,0.003,8.92,6.66,1.352,1.004,0.114,0.008,8.96,6.461,1.346,1.011,NAN,-601.9,231.1,0,NAN,-273.2
9/28/17 14:45,4,271,1445,0.178,0.004,12.48,9.47,1.447,1.004,0.118,0.002,8.94,6.661,1.352,1.004,0.114,0.008,8.97,6.465,1.346,1.01,NAN,-610.6,234,0,NAN,-273.2
9/28/17 15:00,5,271,1500,0.178,0.003,12.51,9.47,1.447,1.004,0.118,0.003,8.93,6.659,1.352,1.004,0.114,0.008,8.94,6.461,1.346,1.01,NAN,-603.2,231.6,0,NAN,-273.2
9/28/17 15:15,6,271,1515,0.178,0.004,12.56,9.47,1.447,1.005,0.118,0.003,8.94,6.66,1.352,1.004,0.114,0.008,8.96,6.463,1.346,1.01,NAN,-603,231.8,0,NAN,-273.2
