TOA5,CR1000_tower1_hillside,CR1000,22064,CR1000.Std.16,CPU:SH_Site1_low_08042017.CR1,48026,SapFlow,,,,,,,,,,,,,,
TIMESTAMP,RECORD,AVRD_Avg(1),AVRD_Avg(2),Sap_mV_Avg(1),Sap_mV_Avg(2),Sap_mV_Avg(3),Sap_mV_Avg(4),Sap_mV_Avg(5),Sap_mV_Avg(6),Sap_mV_Avg(7),Sap_mV_Avg(8),Sap_mV_Avg(9),Sap_mV_Avg(10),Sap_mV_Avg(11),Sap_mV_Avg(12),Sap_mV_Avg(13),Sap_mV_Avg(14),Sap_mV_Avg(15),Sap_mV_Avg(16),Sap_mV_Avg(17),Sap_mV_Avg(18)
TS,RN,,,,,,,,,,,,,,,,,,,,
,,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg
9/6/17 12:30,2204,3.033,3.017,0.26,0.31,0.235,0.334,0.094,0.091,-0.837,0.095,0.233,0.25,0.241,0.201,0.301,0.549,3304,0.306,0.131,4061
9/6/17 12:45,2205,3.037,3.017,0.254,0.307,0.231,0.329,0.092,0.089,-0.856,0.094,0.228,0.242,0.238,0.196,0.298,0.541,3294,0.298,0.129,4064
9/6/17 13:00,2206,3.039,3.017,0.247,0.304,0.228,0.32,0.088,0.084,-0.455,0.091,0.222,0.231,0.232,0.19,0.29,0.452,3271,0.283,0.127,3839
9/6/17 13:15,2207,3.037,3.017,0.241,0.299,0.229,0.316,0.086,0.082,-0.041,0.09,0.221,0.226,0.232,0.188,0.285,0.291,3254,0.275,0.126,3674
9/6/17 13:30,2208,3.039,3.017,0.237,0.295,0.229,0.314,0.084,0.081,-0.856,0.089,0.222,0.222,0.23,0.187,0.28,0.259,3240,0.27,0.124,3413
9/6/17 13:45,2209,3.039,3.018,0.234,0.29,0.228,0.313,0.082,0.08,0.749,0.087,0.221,0.219,0.231,0.187,0.275,0.542,3239,0.267,0.122,3373
9/6/17 14:00,2210,3.037,3.018,0.233,0.287,0.229,0.315,0.081,0.08,-0.047,0.088,0.223,0.219,0.231,0.189,0.271,0.382,3244,0.266,0.12,3688
9/6/17 14:15,2211,3.039,3.018,0.232,0.283,0.229,0.317,0.079,0.08,0.332,0.089,0.224,0.222,0.232,0.188,0.267,0.468,3252,0.265,0.118,3819
9/6/17 14:30,2212,3.035,3.017,0.233,0.28,0.229,0.318,0.08,0.081,-0.113,0.09,0.226,0.226,0.235,0.192,0.264,0.491,3256,0.266,0.115,3919
9/6/17 14:45,2213,3.037,3.018,0.235,0.28,0.231,0.322,0.08,0.082,-1.056,0.091,0.229,0.232,0.239,0.196,0.263,0.662,3266,0.269,0.114,3982
9/6/17 15:00,2214,3.037,3.018,0.238,0.279,0.232,0.325,0.082,0.082,-0.795,0.092,0.23,0.24,0.24,0.198,0.264,0.473,3279,0.272,0.112,4033
