TOA5,CR1000_tower4_N,CR1000,73550,CR1000.Std.28,CPU:SH_Site4_North_3_09302016.CR1,41026,Enviro,,,,,,,,,,,,,,,,,,,,
TIMESTAMP,RECORD,Day_of_Year,Hour,VWC_1_Avg,EC_1_Avg,ST_1_Avg,P_1_Avg,PA_1_Avg,VR_1_Avg,VWC_2_Avg,EC_2_Avg,ST_2_Avg,P_2_Avg,PA_2_Avg,VR_2_Avg,VWC_3_Avg,EC_3_Avg,ST_3_Avg,P_3_Avg,PA_3_Avg,VR_3_Avg,SWE_mv_Avg,JUDD_AT_Avg,JUDD_Depth_Avg,Judd_offset_Avg,TT_C,SBT_C
TS,RN,,,m^3/m^3,dS/m,Deg C,unitless,nSec,unitless,,,,,,,,,,,,,,,,,Deg C,Deg C
,,Smp,Smp,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Smp,Smp
10/1/17 0:00,35080,274,0,0.038,0.001,6.335,3.317,1.218,1.001,0.044,0.001,7.599,3.547,1.235,1.001,0.088,0.001,7.544,5.354,1.296,1.001,0.01,-205.6,-75.29,0,NAN,-273.2
10/1/17 0:15,35081,274,15,0.038,0.001,6.233,3.316,1.218,1.001,0.044,0,7.603,3.55,1.235,1.001,0.088,0.001,7.552,5.354,1.296,1.001,0.01,-204.1,-77.51,0,NAN,-273.2
10/1/17 0:30,35082,274,30,0.038,0.001,6.162,3.318,1.218,1,0.044,0,7.614,3.552,1.235,1,0.088,0.001,7.55,5.354,1.296,1,0.01,-203.1,-78.86,0,NAN,-273.2
10/1/17 0:45,35083,274,45,0.038,0.001,6.069,3.316,1.218,1.001,0.044,0.001,7.574,3.547,1.235,1.001,0.088,0,7.559,5.355,1.296,1,0.01,-202.7,-79.12,0,NAN,-273.2
10/1/17 1:00,35084,274,100,0.038,0.001,5.965,3.315,1.218,1.001,0.044,0,7.591,3.55,1.235,1.001,0.088,0,7.535,5.356,1.296,1,0.01,-205.5,-75.29,0,NAN,-273.2
10/1/17 1:15,35085,274,115,0.038,0.001,5.839,3.318,1.218,1,0.044,0,7.603,3.552,1.235,1,0.088,0,7.535,5.355,1.296,1,0.01,-205.2,-75.89,0,NAN,-273.2
10/1/17 1:30,35086,274,130,0.038,0.001,5.794,3.318,1.218,1,0.044,0.001,7.575,3.549,1.235,1.001,0.088,0,7.534,5.356,1.296,1,0.01,-205.4,-75.71,0,NAN,-273.2
10/1/17 1:45,35087,274,145,0.038,0.001,5.67,3.316,1.218,1.001,0.044,0.001,7.597,3.549,1.235,1.001,0.088,0,7.528,5.355,1.296,1,0.01,-204.7,-76.74,0,NAN,-273.2
10/1/17 2:00,35088,274,200,0.038,0,5.621,3.318,1.218,1,0.044,0.001,7.561,3.548,1.235,1.001,0.088,0,7.551,5.355,1.296,1,0.011,-202.1,-80.2,0,NAN,-273.2
10/1/17 2:15,35089,274,215,0.038,0,5.527,3.321,1.218,1,0.044,0.001,7.559,3.549,1.235,1.001,0.088,0.001,7.536,5.353,1.296,1.001,0.011,-202.4,-79.42,0,NAN,-273.2
10/1/17 2:30,35090,274,230,0.038,0.001,5.466,3.317,1.218,1,0.044,0,7.569,3.552,1.235,1,0.088,0,7.55,5.355,1.296,1,0.011,-204.1,-77.3,0,NAN,-273.2
10/1/17 2:45,35091,274,245,0.038,0.001,5.398,3.318,1.218,1,0.044,0.001,7.555,3.55,1.235,1.001,0.088,0,7.554,5.355,1.296,1,0.011,-205.2,-76.13,0,NAN,-273.2
10/1/17 3:00,35092,274,300,0.038,0.001,5.301,3.317,1.218,1,0.044,0.001,7.555,3.545,1.235,1.001,0.088,0,7.543,5.357,1.296,1,0.011,-205,-76.02,0,NAN,-273.2
10/1/17 3:15,35093,274,315,0.038,0.001,5.25,3.318,1.218,1,0.044,0,7.558,3.552,1.235,1,0.088,0.001,7.538,5.355,1.296,1.001,0.011,-205.5,-75.58,0,NAN,-273.2
10/1/17 3:30,35094,274,330,0.038,0.001,5.16,3.317,1.218,1,0.044,0,7.518,3.551,1.235,1,0.088,0.001,7.549,5.354,1.296,1.001,0.011,-205.9,-74.8,0,NAN,-273.2
10/1/17 3:45,35095,274,345,0.038,0,5.081,3.319,1.218,1,0.044,0.001,7.526,3.548,1.235,1.001,0.088,0,7.541,5.356,1.296,1,0.011,-205.3,-75.86,0,NAN,-273.2
10/1/17 4:00,35096,274,400,0.038,0,5.007,3.318,1.218,1,0.044,0.001,7.49,3.55,1.235,1.001,0.088,0.001,7.549,5.354,1.296,1,0.011,-205.7,-75.09,0,NAN,-273.2
10/1/17 4:15,35097,274,415,0.038,0,4.912,3.319,1.218,1,0.044,0.001,7.481,3.549,1.235,1.001,0.088,0,7.551,5.356,1.296,1,0.011,-206.6,-74.06,0,NAN,-273.2
10/1/17 4:30,35098,274,430,0.038,0,4.817,3.318,1.218,1,0.044,0.001,7.468,3.548,1.235,1.001,0.088,0.001,7.536,5.355,1.296,1,0.011,-204.8,-76.48,0,NAN,-273.2
10/1/17 4:45,35099,274,445,0.038,0,4.761,3.319,1.218,1,0.044,0.001,7.438,3.55,1.235,1.001,0.088,0.001,7.561,5.355,1.296,1,0.011,-205.4,-75.67,0,NAN,-273.2
