TOA5,CR1000_T1_hill2,CR1000,84884,CR1000.Std.31.02,CPU:SH_site1_hill2_062818.CR1,56390,SapFlow,,,,,,,,,,,,,,
TIMESTAMP,RECORD,AVRD_Avg(1),AVRD_Avg(2),Sap_mV_Avg(1),Sap_mV_Avg(2),Sap_mV_Avg(3),Sap_mV_Avg(4),Sap_mV_Avg(5),Sap_mV_Avg(6),Sap_mV_Avg(7),Sap_mV_Avg(8),Sap_mV_Avg(9),Sap_mV_Avg(10),Sap_mV_Avg(11),Sap_mV_Avg(12),Sap_mV_Avg(13),Sap_mV_Avg(14),Sap_mV_Avg(15),Sap_mV_Avg(16),Sap_mV_Avg(17),Sap_mV_Avg(18)
TS,RN,,,,,,,,,,,,,,,,,,,,
,,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg
6/29/18 11:30,0,2.575,4.301,-54.55,-49.29,-50.35,-44.09,-36.03,-31.98,-28.45,-30.09,0.002,0.004,0.176,0.434,-282.5,-295.7,-262,-194.5,-138.1,-243.3
6/29/18 12:00,1,2.576,4.312,36.45,51.59,22.72,766.8,588.4,492.9,68.74,144.6,0.002,0.005,0.178,0.431,-0.358,6.657,10.53,7.039,42.47,0.17
6/29/18 13:15,2,2.675,4.481,30.58,38.58,0.184,0.193,0.195,0.139,0.18,0.22,0.002,0.006,0.194,0.471,-154.5,30.22,0.181,0.186,997,0.182
7/13/18 10:00,3,1.108,1.658,0.098,0.072,0.092,0.098,0.094,0.083,0.098,0.098,0,0,0.069,0.167,0.063,0.068,0.07,0.078,1180,0.074
7/13/18 10:15,4,3.327,4.976,0.322,0.241,0.303,0.325,0.315,0.278,0.326,0.331,0,-0.001,0.24,0.563,0.214,0.231,0.24,0.262,3633,0.254
7/13/18 10:30,5,3.331,4.971,0.352,0.263,0.325,0.352,0.346,0.309,0.353,0.363,0,0,0.27,0.626,0.231,0.25,0.265,0.286,3630,0.279
7/13/18 10:45,6,3.331,4.972,0.362,0.27,0.331,0.36,0.356,0.32,0.355,0.372,0,0.001,0.28,0.649,0.237,0.256,0.273,0.291,3558,0.286
7/13/18 11:00,7,3.331,4.972,0.367,0.271,0.33,0.362,0.36,0.324,0.351,0.376,0,0.001,0.285,0.661,0.239,0.258,0.275,0.293,3640,0.288
7/13/18 11:15,8,3.331,4.974,0.371,0.273,0.333,0.365,0.363,0.326,0.355,0.378,0,0.003,0.289,0.67,0.242,0.26,0.278,0.294,3639,0.291
7/13/18 11:30,9,3.331,4.972,0.373,0.275,0.334,0.366,0.365,0.323,0.356,0.378,0.001,0.004,0.292,0.677,0.244,0.262,0.28,0.296,3606,0.293
7/13/18 11:45,10,3.331,4.972,0.372,0.273,0.332,0.363,0.364,0.318,0.356,0.378,0.002,0.005,0.293,0.678,0.24,0.26,0.278,0.293,3571,0.289
