TOA5,CR1000_tower3_cluster,CR1000,78272,CR1000.Std.28.02,CPU:SH_tow3_cluster_2017.CR1,29011,Enviro,,,,,,,,,,,,,,,,,,,,,
TIMESTAMP,RECORD,Day_of_Year,Hour,VWC_1_Avg,EC_1_Avg,ST_1_Avg,P_1_Avg,PA_1_Avg,VR_1_Avg,VWC_2_Avg,EC_2_Avg,ST_2_Avg,P_2_Avg,PA_2_Avg,VR_2_Avg,VWC_3_Avg,EC_3_Avg,ST_3_Avg,P_3_Avg,PA_3_Avg,VR_3_Avg,SWE_mv_Avg,maxbot_volt_Avg,maxbot_dist_Avg,TT_C,SBT_C,FuelM_Avg,PA_uS_Avg
TS,RN,,,m^3/m^3,dS/m,Deg C,unitless,nSec,unitless,,,,,,,,,,,,,,,,Deg C,Deg C,%,uSec
,,Smp,Smp,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Smp,Smp,Avg,Avg
7/27/19 21:15,0,208,2115,0.007,0,1.399,0.417,0.094,0.072,0.01,0,1.045,0.541,0.099,0.072,0.01,0.001,0.9,0.534,0.099,0.073,0.038,2172,2.121,13.75,14.22,5.965,17.77
7/27/19 21:30,1,208,2130,0.099,0.003,19.58,5.832,1.316,1.004,0.138,0.004,14.63,7.574,1.386,1.006,0.136,0.012,12.6,7.479,1.385,1.015,0.038,2172,2.121,13.45,13.87,6.069,17.79
7/27/19 21:45,2,208,2145,0.099,0.003,19.47,5.805,1.315,1.004,0.138,0.004,14.65,7.575,1.386,1.006,0.136,0.011,12.64,7.482,1.385,1.014,0.038,2173,2.122,13.07,13.52,6.148,17.8
7/27/19 22:00,3,208,2200,0.099,0.003,19.34,5.808,1.315,1.003,0.138,0.004,14.66,7.574,1.386,1.006,0.136,0.011,12.63,7.482,1.385,1.014,0.038,2163,2.112,12.76,13.23,6.224,17.82
7/27/19 22:15,4,208,2215,0.099,0.003,19.21,5.808,1.315,1.003,0.138,0.004,14.7,7.574,1.386,1.006,0.136,0.011,12.64,7.482,1.385,1.014,0.038,2180,2.129,12.59,13.08,6.304,17.83
7/27/19 22:30,5,208,2230,0.099,0.003,19.09,5.807,1.315,1.003,0.138,0.004,14.67,7.573,1.386,1.006,0.137,0.011,12.62,7.485,1.385,1.014,0.038,2191,2.14,12.51,13.01,6.381,17.85
7/27/19 22:45,6,208,2245,0.099,0.003,18.96,5.808,1.315,1.003,0.138,0.004,14.68,7.575,1.386,1.006,0.137,0.011,12.66,7.512,1.386,1.015,0.038,2186,2.135,12.42,12.89,6.456,17.86
7/27/19 23:00,7,208,2300,0.099,0.003,18.81,5.808,1.315,1.003,0.138,0.004,14.72,7.574,1.386,1.006,0.137,0.011,12.63,7.513,1.386,1.014,0.038,2174,2.123,12.31,12.72,6.529,17.87
