TOA5,CR1000_tower4_N,CR1000,73550,CR1000.Std.28,CPU:SH_Site4_North_2018.CR1,50002,Enviro,,,,,,,,,,,,,,,,,,,,,,
TIMESTAMP,RECORD,Day_of_Year,Hour,VWC_1_Avg,EC_1_Avg,ST_1_Avg,P_1_Avg,PA_1_Avg,VR_1_Avg,VWC_2_Avg,EC_2_Avg,ST_2_Avg,P_2_Avg,PA_2_Avg,VR_2_Avg,VWC_3_Avg,EC_3_Avg,ST_3_Avg,P_3_Avg,PA_3_Avg,VR_3_Avg,SWE_mv_Avg,JUDD_AT_Avg,JUDD_Depth_Avg,Judd_offset_Avg,TT_C,SBT_C,FuelM_Avg,PA_uS_Avg
TS,RN,,,m^3/m^3,dS/m,Deg C,unitless,nSec,unitless,,,,,,,,,,,,,,,,,Deg C,Deg C,%,uSec
,,Smp,Smp,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Smp,Smp,Avg,Avg
7/27/19 19:15,0,208,1915,0.007,0,2.271,0.448,0.127,0.1,0.006,0,1.739,0.399,0.126,0.1,0.012,0,1.264,0.678,0.135,0.1,0.004,-98,-207.7,0,16.06,18.48,5.899,17.75
7/27/19 19:30,1,208,1930,0.067,0.001,22.67,4.481,1.272,1.001,0.055,0.001,17.39,3.992,1.256,1.001,0.121,0.001,12.64,6.784,1.353,1.001,0.004,-95.1,-210.6,0,15.38,17.82,5.864,17.75
7/27/19 19:45,2,208,1945,0.067,0.001,22.05,4.48,1.272,1.001,0.055,0.001,17.45,3.991,1.256,1.001,0.121,0.001,12.64,6.785,1.353,1.001,0.004,-94.3,-210.9,0,15,17.4,5.844,17.74
7/27/19 20:00,3,208,2000,0.067,0.001,21.5,4.481,1.272,1.001,0.055,0.001,17.48,3.993,1.256,1.001,0.121,0.001,12.66,6.786,1.353,1.001,0.004,-93.5,-211.6,0,14.64,17.03,5.849,17.74
7/27/19 20:15,4,208,2015,0.067,0.001,20.99,4.48,1.272,1.001,0.055,0.001,17.52,3.988,1.256,1.002,0.121,0.001,12.65,6.786,1.353,1.001,0.004,-93.4,-211.6,0,14.36,16.48,5.84,17.74
7/27/19 20:30,5,208,2030,0.067,0.001,20.58,4.481,1.272,1.001,0.055,0.001,17.54,3.991,1.256,1.001,0.121,0.001,12.65,6.786,1.353,1.001,0.004,-92.9,-212.1,0,14.62,16.69,5.859,17.75
7/27/19 20:45,6,208,2045,0.067,0.001,20.18,4.481,1.272,1.001,0.055,0.001,17.59,3.992,1.256,1.001,0.121,0.001,12.67,6.787,1.353,1.001,0.004,-92.1,-213.1,0,14.34,16.8,5.904,17.75
