TOA5,CR1000_tower3_cluster,CR1000,78272,CR1000.Std.28.02,CPU:SH_tow3_cluster_2017.CR1,29011,Enviro,,,,,,,,,,,,,,,,,,,,,
TIMESTAMP,RECORD,Day_of_Year,Hour,VWC_1_Avg,EC_1_Avg,ST_1_Avg,P_1_Avg,PA_1_Avg,VR_1_Avg,VWC_2_Avg,EC_2_Avg,ST_2_Avg,P_2_Avg,PA_2_Avg,VR_2_Avg,VWC_3_Avg,EC_3_Avg,ST_3_Avg,P_3_Avg,PA_3_Avg,VR_3_Avg,SWE_mv_Avg,maxbot_volt_Avg,maxbot_dist_Avg,TT_C,SBT_C,FuelM_Avg,PA_uS_Avg
TS,RN,,,m^3/m^3,dS/m,Deg C,unitless,nSec,unitless,,,,,,,,,,,,,,,,Deg C,Deg C,%,uSec
,,Smp,Smp,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Smp,Smp,Avg,Avg
10/1/19 0:00,6250,274,0,0.232,0.004,4.294,12.39,1.537,1.005,0.114,0.003,8.98,6.451,1.344,1.004,0.115,0.008,10.02,6.492,1.347,1.01,0.041,4040,3.945,-6.153,-6.174,19.98,20.4
10/1/19 0:15,6251,274,15,0.232,0.004,4.243,12.35,1.536,1.004,0.114,0.003,8.96,6.451,1.344,1.004,0.115,0.009,9.99,6.488,1.347,1.011,0.041,4042,3.947,-6.215,-6.218,20.02,20.41
10/1/19 0:30,6252,274,30,0.232,0.004,4.207,12.35,1.536,1.005,0.114,0.003,8.97,6.452,1.344,1.004,0.115,0.008,9.99,6.491,1.347,1.011,0.042,4047,3.952,-6.242,-6.252,20.05,20.41
10/1/19 0:45,6253,274,45,0.231,0.004,4.148,12.31,1.535,1.005,0.114,0.003,8.95,6.45,1.344,1.004,0.115,0.008,9.98,6.49,1.347,1.011,0.042,4049,3.954,-6.316,-6.285,20.08,20.42
10/1/19 1:00,6254,274,100,0.231,0.004,4.121,12.31,1.535,1.004,0.114,0.003,8.95,6.45,1.344,1.004,0.115,0.008,9.97,6.491,1.347,1.011,0.043,4048,3.953,-6.373,-6.313,20.11,20.42
10/1/19 1:15,6255,274,115,0.23,0.004,4.114,12.27,1.534,1.004,0.114,0.003,8.91,6.451,1.344,1.004,0.115,0.008,9.96,6.49,1.347,1.011,0.043,4053,3.958,-6.39,-6.33,20.14,20.43
10/1/19 1:30,6256,274,130,0.23,0.004,4.047,12.27,1.534,1.004,0.114,0.003,8.9,6.45,1.344,1.004,0.115,0.008,9.96,6.49,1.347,1.011,0.044,4043,3.949,-6.457,-6.397,20.17,20.44
10/1/19 1:45,6257,274,145,0.23,0.004,4.072,12.23,1.533,1.005,0.114,0.003,8.88,6.45,1.344,1.004,0.115,0.008,9.95,6.492,1.347,1.01,0.044,4036,3.942,-6.575,-6.503,20.16,20.43
