TOA5,CR1000_tower4_N,CR1000,73550,CR1000.Std.28,CPU:SH_Site4_North_2018.CR1,50002,Enviro,,,,,,,,,,,,,,,,,,,,,,
TIMESTAMP,RECORD,Day_of_Year,Hour,VWC_1_Avg,EC_1_Avg,ST_1_Avg,P_1_Avg,PA_1_Avg,VR_1_Avg,VWC_2_Avg,EC_2_Avg,ST_2_Avg,P_2_Avg,PA_2_Avg,VR_2_Avg,VWC_3_Avg,EC_3_Avg,ST_3_Avg,P_3_Avg,PA_3_Avg,VR_3_Avg,SWE_mv_Avg,JUDD_AT_Avg,JUDD_Depth_Avg,Judd_offset_Avg,TT_C,SBT_C,FuelM_Avg,PA_uS_Avg
TS,RN,,,m^3/m^3,dS/m,Deg C,unitless,nSec,unitless,,,,,,,,,,,,,,,,,Deg C,Deg C,%,uSec
,,Smp,Smp,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Smp,Smp,Avg,Avg
10/1/19 0:00,6259,274,0,0.042,0.001,2.823,3.482,1.226,1.001,0.038,0.001,5.832,3.308,1.224,1.001,0.085,0,8.61,5.219,1.291,1,0.04,-78.22,-226.9,0,-11.76,-6.196,17.32,19.91
10/1/19 0:15,6260,274,15,0.042,0.001,2.811,3.483,1.226,1.001,0.038,0,5.866,3.311,1.224,1,0.085,0,8.59,5.219,1.291,1,0.04,-79.11,-225.5,0,-11.43,-6.084,17.41,19.93
10/1/19 0:30,6261,274,30,0.042,0.001,2.802,3.483,1.226,1.001,0.038,0,5.831,3.31,1.224,1.001,0.085,0,8.59,5.219,1.291,1,0.04,-79.08,-225.6,0,-11.21,-5.994,17.56,19.95
10/1/19 0:45,6262,274,45,0.042,0.001,2.8,3.482,1.226,1.001,0.038,0,5.854,3.312,1.224,1,0.085,0.001,8.59,5.217,1.291,1.001,0.04,-79.53,-225,0,-11.68,-5.926,17.64,19.97
10/1/19 1:00,6263,274,100,0.042,0.001,2.778,3.483,1.226,1,0.038,0.001,5.819,3.307,1.224,1.001,0.085,0.001,8.57,5.219,1.291,1,0.04,-79.9,-224.4,0,-11.66,-5.859,17.66,19.97
10/1/19 1:15,6264,274,115,0.042,0,2.796,3.485,1.226,1,0.038,0,5.768,3.312,1.224,1,0.085,0.001,8.59,5.218,1.291,1.001,0.04,-79.6,-224.9,0,-11.42,-5.882,17.74,19.99
10/1/19 1:30,6265,274,130,0.042,0.001,2.797,3.481,1.226,1.001,0.038,0,5.822,3.313,1.224,1,0.085,0,8.57,5.219,1.291,1,0.04,-79.51,-225,0,-11.23,-5.748,17.83,20
